"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"1","2022","Calvin Austin","WR","22","","Memphis","College Stats","5-8","170","4.32","39.0","","135","6.65","4.07","Pittsburgh Steelers / 4th / 138th pick / 2022"
"2","2022","Tyler Badie","RB","22","","Missouri","College Stats","5-8","197","4.45","33.5","","121","","","Baltimore Ravens / 6th / 196th pick / 2022"
"3","2022","Jerrion Ealy","RB","","","Mississippi","College Stats","5-8","189","4.52","34.5","","128","","",""
"4","2022","Marcus Jones","CB","23","","Houston","College Stats","5-8","174","","","","","","","New England Patriots / 3rd / 85th pick / 2022"
"5","2022","Ronnie Rivers","RB","","","Fresno St.","College Stats","5-8","195","4.60","36.5","","119","","",""
"6","2022","Wan'Dale Robinson","WR","21","","Kentucky","College Stats","5-8","178","4.44","34.5","","118","","","New York Giants / 2nd / 43rd pick / 2022"
"7","2022","CJ Verdell","RB","","","Oregon","College Stats","5-8","194","","29.5","","118","","",""
"8","2022","Jaylen Warren","RB","","","Oklahoma St.","College Stats","5-8","204","4.55","31.5","","119","","",""
"9","2022","Max Borghi","RB","","","Washington St.","College Stats","5-9","210","","","20","","","",""
"10","2022","Tyler Goodson","RB","","","Iowa","College Stats","5-9","197","4.42","36.5","","123","","",""
"11","2022","D'Eriq King","QB","","","Miami","College Stats","5-9","196","","","","","","",""
"12","2022","Sincere McCormick","RB","","","Texas-San Antonio","College Stats","5-9","205","4.60","33.5","","116","","",""
"13","2022","Kenneth Walker","RB","21","","Michigan St.","College Stats","5-9","211","4.38","34.0","","122","","","Seattle Seahawks / 2nd / 41st pick / 2022"
"14","2022","Kyren Williams","RB","21","","Notre Dame","College Stats","5-9","194","4.65","32.0","","116","","","Los Angeles Rams / 5th / 164th pick / 2022"
"15","2022","Darien Butler","LB","","","Arizona St.","College Stats","5-10","221","","","","","7.47","",""
"16","2022","Snoop Conner","RB","21","","Mississippi","College Stats","5-10","222","4.59","29.5","25","118","","","Jacksonville Jaguars / 5th / 154th pick / 2022"
"17","2022","Cobie Durant","CB","24","","South Carolina St.","","5-10","180","4.38","","","","","","Los Angeles Rams / 4th / 142nd pick / 2022"
"18","2022","Kevin Harris","RB","21","","South Carolina","College Stats","5-10","221","","38.5","21","126","","","New England Patriots / 6th / 183rd pick / 2022"
"19","2022","Verone McKinley III","S","","","Oregon","College Stats","5-10","198","","35.0","16","120","","",""
"20","2022","Skyy Moore","WR","21","","Western Michigan","College Stats","5-10","195","4.41","34.5","","125","7.13","4.32","Kansas City Chiefs / 2nd / 54th pick / 2022"
"21","2022","Isiah Pacheco","RB","22","","Rutgers","College Stats","5-10","216","4.37","33.0","","118","","","Kansas City Chiefs / 7th / 251st pick / 2022"
"22","2022","Dameon Pierce","RB","22","","Florida","College Stats","5-10","218","4.59","34.5","21","119","","","Houston Texans / 4th / 107th pick / 2022"
"23","2022","Delarrin Turner-Yell","S","22","","Oklahoma","College Stats","5-10","197","4.47","","","122","","","Denver Broncos / 5th / 152nd pick / 2022"
"24","2022","Damarion Williams","CB","23","","Houston","College Stats","5-10","182","","34.5","17","118","","","Baltimore Ravens / 4th / 141st pick / 2022"
"25","2022","Tyler Allgeier","RB","21","","BYU","College Stats","5-11","224","4.60","33.0","","120","","","Atlanta Falcons / 5th / 151st pick / 2022"
"26","2022","Greg Bell","RB","","","San Diego St.","College Stats","5-11","201","","31.0","17","120","","",""
"27","2022","Slade Bolden","WR","","","Alabama","College Stats","5-11","193","4.66","32.0","","116","","",""
"28","2022","Kennedy Brooks","RB","","","Oklahoma","College Stats","5-11","209","4.59","31.0","","120","","",""
"29","2022","Tykevious Chandler","RB","23","","North Carolina","College Stats","5-11","204","4.38","31.0","","121","","","Minnesota Vikings / 5th / 169th pick / 2022"
"30","2022","James Cook","RB","22","","Georgia","College Stats","5-11","199","4.42","33.0","","124","","","Buffalo Bills / 2nd / 63rd pick / 2022"
"31","2022","Jashaun Corbin","RB","","","Florida St.","College Stats","5-11","202","","","","","","",""
"32","2022","Nakobe Dean","LB","21","","Georgia","College Stats","5-11","229","","","","","","","Philadelphia Eagles / 3rd / 83rd pick / 2022"
"33","2022","Jahan Dotson","WR","21","","Penn St.","College Stats","5-11","178","4.43","36.0","","121","7.28","","Washington Commanders / 1st / 16th pick / 2022"
"34","2022","Trestan Ebner","RB","23","","Baylor","College Stats","5-11","206","4.43","30.0","","","","","Chicago Bears / 6th / 203rd pick / 2022"
"35","2022","Jerome Ford","RB","22","","Cincinnati","College Stats","5-11","210","4.46","31.0","","118","","","Cleveland Browns / 5th / 156th pick / 2022"
"36","2022","Breece Hall","RB","20","","Iowa St.","College Stats","5-11","217","4.39","40.0","","126","","","New York Jets / 2nd / 36th pick / 2022"
"37","2022","Connor Heyward","TE","23","","Michigan St.","College Stats","5-11","233","4.72","32.5","","","","","Pittsburgh Steelers / 6th / 208th pick / 2022"
"38","2022","Josh Johnson","WR","","","Tulsa","College Stats","5-11","183","","","14","","","",""
"39","2022","Jack Jones","CB","24","","Arizona St.","College Stats","5-11","171","4.51","","","","","","New England Patriots / 4th / 121st pick / 2022"
"40","2022","Zonovan Knight","RB","","","North Carolina St.","College Stats","5-11","209","4.58","31.0","","114","","",""
"41","2022","Chase Lucas","CB","25","","Arizona St.","College Stats","5-11","180","4.48","39.0","","128","","","Detroit Lions / 7th / 237th pick / 2022"
"42","2022","Damarri Mathis","CB","22","","Pittsburgh","College Stats","5-11","196","4.39","","","","","","Denver Broncos / 4th / 115th pick / 2022"
"43","2022","Zakoby McClain","LB","","","Auburn","College Stats","5-11","228","4.69","33.0","","117","","",""
"44","2022","Roger McCreary","CB","22","","Auburn","College Stats","5-11","190","4.50","","","","","","Tennessee Titans / 2nd / 35th pick / 2022"
