"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"1","2014","Jeremy Gallon","WR","24","","Michigan","College Stats","5-7","185","4.49","","15","","","","New England Patriots / 7th / 244th pick / 2014"
"2","2014","LaDarius Perkins","RB","23","","Mississippi State","College Stats","5-7","195","4.46","35.5","23","124","7.08","4.30",""
"3","2014","Dri Archer","WR","22","0","Kent State","College Stats","5-8","173","4.26","38.0","20","122","6.86","4.06","Pittsburgh Steelers / 3rd / 97th pick / 2014"
"4","2014","Devonta Freeman","RB","21","54","Florida State","College Stats","5-8","206","4.58","31.5","","118","7.11","4.26","Atlanta Falcons / 4th / 103rd pick / 2014"
"5","2014","Henry Josey","RB","22","","Missouri","College Stats","5-8","194","4.43","34.5","20","118","7.07","4.13",""
"6","2014","Lamarcus Joyner","CB","23","25","Florida State","College Stats","5-8","184","4.55","37.5","14","124","7.26","4.40","St. Louis Rams / 2nd / 41st pick / 2014"
"7","2014","Tre Mason","RB","20","8","Auburn","College Stats","5-8","207","4.50","38.5","","126","","4.15","St. Louis Rams / 3rd / 75th pick / 2014"
"8","2014","Cairo Santos","K","22","19","Tulane","College Stats","5-8","164","4.76","","","","","",""
"9","2014","Tim Flanders","RB","","","SMU","","5-9","207","4.75","32.0","20","113","7.07","",""
"10","2014","Ricardo Allen","CB","22","28","Purdue","College Stats","5-9","187","4.61","35.5","13","117","","4.15","Atlanta Falcons / 5th / 147th pick / 2014"
"11","2014","Kapri Bibbs","RB","21","3","Colorado State","College Stats","5-9","212","4.67","29.0","24","106","","",""
"12","2014","Michael Campanaro","WR","23","4","Wake Forest","College Stats","5-9","192","4.46","39.0","20","122","6.77","4.01","Baltimore Ravens / 7th / 218th pick / 2014"
"13","2014","Ka'Deem Carey","RB","21","3","Arizona","College Stats","5-9","207","4.69","32.5","19","115","7.08","4.38","Chicago Bears / 4th / 117th pick / 2014"
"14","2014","Bruce Ellington","WR","22","7","South Carolina","College Stats","5-9","197","4.45","39.5","15","120","6.69","3.95","San Francisco 49ers / 4th / 106th pick / 2014"
"15","2014","Victor Hampton","CB","21","","South Carolina","College Stats","5-9","197","4.69","33.5","20","118","7.01","4.20",""
"16","2014","Robert Herron","WR","21","0","Wyoming","College Stats","5-9","193","4.48","35.5","18","125","6.84","4.27","Tampa Bay Buccaneers / 6th / 185th pick / 2014"
"17","2014","Nevin Lawson","CB","22","25","Utah State","College Stats","5-9","190","4.48","33.0","16","120","7.12","4.40","Detroit Lions / 4th / 133rd pick / 2014"
"18","2014","Jerick McKinnon","RB","21","28","Georgia Southern","","5-9","209","4.41","40.5","32","132","6.83","4.12","Minnesota Vikings / 3rd / 96th pick / 2014"
"19","2014","Bishop Sankey","RB","21","6","Washington","College Stats","5-9","209","4.49","35.5","26","126","6.75","4.00","Tennessee Titans / 2nd / 54th pick / 2014"
"20","2014","Jalen Saunders","WR","21","0","Oklahoma","College Stats","5-9","165","4.44","34.0","","122","","","New York Jets / 4th / 104th pick / 2014"
"21","2014","Lache Seastrunk","RB","22","","Baylor","College Stats","5-9","201","4.51","41.5","15","134","","","Washington Redskins / 6th / 186th pick / 2014"
"22","2014","De'Anthony Thomas","RB","21","7","Oregon","College Stats","5-9","174","4.39","32.0","8","124","","","Kansas City Chiefs / 4th / 124th pick / 2014"
"23","2014","Jemea Thomas","CB","23","0","Georgia Tech","College Stats","5-9","192","4.52","37.0","19","125","","","New England Patriots / 6th / 206th pick / 2014"
"24","2014","Jason Verrett","CB","22","18","TCU","College Stats","5-9","189","4.38","39.0","","128","6.69","4.00","San Diego Chargers / 1st / 25th pick / 2014"
"25","2014","Terrance West","RB","23","11","Towson","","5-9","225","4.56","33.5","16","120","","","Cleveland Browns / 3rd / 94th pick / 2014"
"26","2014","James White","RB","22","42","Wisconsin","College Stats","5-9","204","4.57","32.0","23","114","7.05","4.20","New England Patriots / 4th / 130th pick / 2014"
"27","2014","Albert Wilson","WR","21","24","Georgia State","College Stats","5-9","202","4.43","37.5","10","123","7.00","4.21",""
"28","2014","Adam Muema","RB","","","San Diego State","College Stats","5-10","202","4.56","","","","","",""
"29","2014","Antonio Andrews","RB","21","4","Western Kentucky","College Stats","5-10","225","4.82","29.5","20","106","7.24","4.49",""
"30","2014","Nat Berhe","S","22","3","San Diego State","College Stats","5-10","193","4.71","35.5","15","117","7.08","4.22","New York Giants / 5th / 152nd pick / 2014"
"31","2014","John Brown","WR","23","40","Pittsburg State","","5-10","179","4.34","36.5","","119","6.91","4.12","Arizona Cardinals / 3rd / 91st pick / 2014"
"32","2014","Isaiah Burse","WR","22","0","Fresno State","College Stats","5-10","188","4.58","31.0","16","115","6.74","3.94",""
"33","2014","Kain Colter","WR","23","","Northwestern","College Stats","5-10","198","4.71","","","","","",""
"34","2014","Brandin Cooks","WR","20","73","Oregon State","College Stats","5-10","189","4.33","36.0","16","120","6.76","3.81","New Orleans Saints / 1st / 20th pick / 2014"
"35","2014","Chris Davis","CB","23","1","Auburn","College Stats","5-10","202","4.54","","15","","","",""
"36","2014","E.J. Gaines","CB","22","14","Missouri","College Stats","5-10","190","4.44","","15","","","","St. Louis Rams / 6th / 188th pick / 2014"
"37","2014","Andre Hal","CB","21","18","Vanderbilt","College Stats","5-10","188","4.50","35.5","15","119","7.14","4.27","Houston Texans / 7th / 216th pick / 2014"
"38","2014","Kendall James","CB","22","","Maine","","5-10","180","4.44","39.0","9","","6.81","4.19","Minnesota Vikings / 6th / 184th pick / 2014"
"39","2014","Isaiah Lewis","S","22","","Michigan State","College Stats","5-10","211","4.60","36.5","15","122","7.05","4.47",""
"40","2014","Dexter McDougle","CB","22","2","Maryland","College Stats","5-10","196","4.47","","","","","","New York Jets / 3rd / 80th pick / 2014"
"41","2014","Silas Redd","RB","22","1","USC","College Stats","5-10","212","4.70","37.0","18","122","","",""
"42","2014","Tevin Reese","WR","23","","Baylor","College Stats","5-10","163","4.46","41.0","","132","6.63","4.18","San Diego Chargers / 7th / 240th pick / 2014"
"43","2014","Rashaad Reynolds","CB","23","","Oregon State","College Stats","5-10","189","4.51","37.5","20","123","6.72","4.00",""
"44","2014","Josh Stewart","WR","21","","Oklahoma State","College Stats","5-10","178","4.69","35.0","11","117","7.10","4.33",""
"45","2014","Todd Washington","CB","","","SE Louisiana","","5-11","196","4.57","","13","","","",""
"46","2014","Odell Beckham, Jr.","WR","21","63","LSU","College Stats","5-11","198","4.38","38.5","7","122","6.69","3.94","New York Giants / 1st / 12th pick / 2014"
"47","2014","Deion Belue","CB","22","","Alabama","College Stats","5-11","182","4.48","","11","","","",""
"48","2014","Bene' Benwikere","CB","22","11","San Jose State","College Stats","5-11","195","4.59","40.5","10","122","6.94","4.38","Carolina Panthers / 5th / 148th pick / 2014"
"49","2014","Chris Borland","ILB","22","6","Wisconsin","College Stats","5-11","248","4.83","31.0","27","114","7.18","4.27","San Francisco 49ers / 3rd / 77th pick / 2014"
"50","2014","Bashaud Breeland","CB","22","40","Clemson","College Stats","5-11","197","4.62","34.5","11","123","7.04","4.33","Washington Redskins / 4th / 102nd pick / 2014"
"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"51","2014","Terrence Brooks","S","22","9","Florida State","College Stats","5-11","198","4.42","38.0","10","119","7.35","","Baltimore Ravens / 3rd / 79th pick / 2014"
"52","2014","Corey Brown","WR","22","11","Ohio State","College Stats","5-11","178","4.51","33.0","","116","7.16","4.22",""
"53","2014","Aaron Colvin","CB","22","17","Oklahoma","College Stats","5-11","177","4.51","","","","","","Jacksonville Jaguars / 4th / 114th pick / 2014"
"54","2014","Damian Copeland","WR","23","","Louisville","College Stats","5-11","184","4.50","40.0","12","120","6.53","3.90",""
"55","2014","J.C. Copeland","FB","22","","LSU","College Stats","5-11","271","4.95","28.5","23","111","7.68","4.58",""
"56","2014","Isaiah Crowell","RB","21","24","Arkansas","","5-11","224","4.57","38.0","23","117","","",""
"57","2014","Darqueze Dennard","CB","22","15","Michigan State","College Stats","5-11","199","4.52","","15","","","","Cincinnati Bengals / 1st / 24th pick / 2014"
"58","2014","Brandon Dixon","CB","23","3","Northwest Missouri State","","5-11","203","4.41","32.5","17","117","7.15","4.27","New York Jets / 6th / 195th pick / 2014"
"59","2014","David Fluellen","RB","22","0","Toledo","College Stats","5-11","224","4.72","36.5","","120","6.90","",""
"60","2014","Austin Franklin","WR","20","","New Mexico State","College Stats","5-11","189","4.56","36.0","7","124","7.07","4.33",""
"61","2014","Tyler Gaffney","RB","22","","Stanford","College Stats","5-11","220","4.49","36.5","","116","6.78","4.18","Carolina Panthers / 6th / 204th pick / 2014"
"62","2014","Jeremiah George","ILB","22","3","Iowa State","College Stats","5-11","234","4.91","33.0","28","116","","","New York Jets / 5th / 154th pick / 2014"
"63","2014","Demetri Goodson","CB","24","2","Baylor","College Stats","5-11","194","4.52","37.0","11","123","6.80","4.34","Green Bay Packers / 6th / 197th pick / 2014"
"64","2014","Josh Huff","WR","22","6","Oregon","College Stats","5-11","206","4.51","35.5","14","116","","","Philadelphia Eagles / 3rd / 86th pick / 2014"
"65","2014","Marqueston Huff","S","21","4","Wyoming","College Stats","5-11","196","4.49","35.5","15","118","7.26","4.19","Tennessee Titans / 4th / 122nd pick / 2014"
"66","2014","Jarvis Landry","WR","21","65","LSU","College Stats","5-11","205","4.65","28.5","12","110","","","Miami Dolphins / 2nd / 63rd pick / 2014"
"67","2014","Terrance Mitchell","CB","21","20","Oregon","College Stats","5-11","192","4.63","34.0","","117","6.57","4.00","Dallas Cowboys / 7th / 254th pick / 2014"
"68","2014","Jabari Price","CB","20","1","North Carolina","College Stats","5-11","200","4.45","","16","","7.04","4.30","Minnesota Vikings / 7th / 225th pick / 2014"
"69","2014","Calvin Pryor","S","21","14","Louisville","College Stats","5-11","207","4.58","34.5","18","116","","","New York Jets / 1st / 18th pick / 2014"
"70","2014","Loucheiz Purifoy","CB","","","Florida","College Stats","5-11","190","4.61","35.5","6","120","","",""
"71","2014","Keith Reaser","CB","22","2","Florida Atlantic","College Stats","5-11","189","4.43","","22","","","","San Francisco 49ers / 5th / 170th pick / 2014"
"72","2014","Bradley Roby","CB","21","25","Ohio State","College Stats","5-11","194","4.39","38.5","17","124","","4.04","Denver Broncos / 1st / 31st pick / 2014"
"73","2014","Jerome Smith","RB","22","0","Syracuse","College Stats","5-11","220","4.84","36.0","14","118","7.53","4.60",""
"74","2014","Willie Snead","WR","21","32","Ball State","College Stats","5-11","195","4.62","33.5","11","113","7.19","4.39",""
"75","2014","Vinnie Sunseri","S","22","0","Alabama","College Stats","5-11","210","","","18","","","","New Orleans Saints / 5th / 167th pick / 2014"
"76","2014","Jimmie Ward","S","22","27","Northern Illinois","College Stats","5-11","193","4.59","","9","","","","San Francisco 49ers / 1st / 30th pick / 2014"
"77","2014","Jaylen Watkins","CB","22","5","Florida","College Stats","5-11","194","4.41","","22","","","","Philadelphia Eagles / 4th / 101st pick / 2014"
"78","2014","Lavelle Westbrooks","CB","22","","Georgia Southern","","5-11","186","4.63","36.0","15","121","6.98","4.27","Cincinnati Bengals / 7th / 252nd pick / 2014"
"79","2014","Andre Williams","RB","21","7","Boston Col.","College Stats","5-11","230","4.56","38.0","","129","7.27","4.06","New York Giants / 4th / 113th pick / 2014"
"80","2014","Damien Williams","RB","21","20","Oklahoma","College Stats","5-11","222","4.45","35.5","16","121","7.37","4.25",""
"81","2014","Dion Bailey","S","22","1","USC","College Stats","6-0","201","4.66","34.0","","113","6.97","4.15",""
