"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"1","2019","Greg Dortch","WR","20","0","Wake Forest","College Stats","5-7","173","","","","","","",""
"2","2019","Devin Singletary","RB","21","21","Florida Atlantic","College Stats","5-7","203","4.66","35.0","15","117","7.32","4.40","Buffalo Bills / 3rd / 74th pick / 2019"
"3","2019","Darrell Henderson","RB","21","11","Memphis","College Stats","5-8","208","4.49","33.5","22","121","","","Los Angeles Rams / 3rd / 70th pick / 2019"
"4","2019","Trayveon Williams","RB","21","1","Texas A&M","College Stats","5-8","206","4.51","33.0","19","121","7.44","4.44","Cincinnati Bengals / 6th / 182nd pick / 2019"
"5","2019","Ugo Amadi","S","21","6","Oregon","College Stats","5-9","199","4.51","32.5","18","115","7.21","4.19","Seattle Seahawks / 4th / 132nd pick / 2019"
"6","2019","Marquise Brown","WR","21","25","Oklahoma","College Stats","5-9","166","","","","","","","Baltimore Ravens / 1st / 25th pick / 2019"
"7","2019","Hamp Cheevers","CB","","","Boston Col.","College Stats","5-9","169","4.52","39.0","8","122","6.96","4.25",""
"8","2019","Myles Gaskin","RB","22","13","Washington","College Stats","5-9","205","4.58","35.5","24","118","7.19","4.27","Miami Dolphins / 7th / 234th pick / 2019"
"9","2019","Karan Higdon","RB","22","","Michigan","College Stats","5-9","206","4.49","34.0","21","123","","",""
"10","2019","Andy Isabella","WR","22","4","Massachusetts","College Stats","5-9","188","4.31","36.5","15","121","6.95","4.15","Arizona Cardinals / 2nd / 62nd pick / 2019"
"11","2019","Bryce Love","RB","21","","Stanford","College Stats","5-9","200","","","18","","","","Washington Redskins / 4th / 112th pick / 2019"
"12","2019","Austin Seibert","K","22","4","Oklahoma","College Stats","5-9","213","","","","","","","Cleveland Browns / 5th / 170th pick / 2019"
"13","2019","James Williams","RB","22","","Washington State","College Stats","5-9","197","4.58","36.5","","118","7.01","4.25",""
"14","2019","Ryan Davis","WR","","","Auburn","College Stats","5-10","189","","35.0","12","124","7.09","4.23",""
"15","2019","D'Cota Dixon","S","24","","Wisconsin","College Stats","5-10","204","4.81","33.5","20","119","","",""
"16","2019","Johnnie Dixon","WR","24","","Ohio State","College Stats","5-10","201","4.41","37.5","16","120","","4.43",""
"17","2019","Mike Edwards","S","22","8","Kentucky","College Stats","5-10","205","","","","","","","Tampa Bay Buccaneers / 3rd / 99th pick / 2019"
"18","2019","Mark Fields","CB","22","0","Clemson","College Stats","5-10","192","4.37","","18","","","",""
"19","2019","Mecole Hardman","WR","20","20","Georgia","College Stats","5-10","187","4.33","36.5","17","119","","","Kansas City Chiefs / 2nd / 56th pick / 2019"
"20","2019","Damien Harris","RB","22","13","Alabama","College Stats","5-10","216","4.57","37.0","16","121","","","New England Patriots / 3rd / 87th pick / 2019"
"21","2019","Justice Hill","RB","21","4","Oklahoma State","College Stats","5-10","198","4.40","40.0","21","130","","","Baltimore Ravens / 4th / 113th pick / 2019"
"22","2019","Elijah Holyfield","RB","21","0","Georgia","College Stats","5-10","217","4.78","29.5","26","118","","",""
"23","2019","Travis Homer","RB","20","6","Miami (FL)","College Stats","5-10","201","4.48","39.5","17","130","7.07","4.31","Seattle Seahawks / 6th / 204th pick / 2019"
"24","2019","Josh Jacobs","RB","21","23","Alabama","College Stats","5-10","220","","","","","","","Oakland Raiders / 1st / 24th pick / 2019"
"25","2019","Diontae Johnson","WR","22","23","Toledo","College Stats","5-10","183","4.53","33.5","15","123","7.09","4.45","Pittsburgh Steelers / 3rd / 66th pick / 2019"
"26","2019","Jaquan Johnson","S","23","3","Miami (FL)","College Stats","5-10","191","4.69","33.0","18","121","","","Buffalo Bills / 6th / 181st pick / 2019"
"27","2019","David Montgomery","RB","21","22","Iowa State","College Stats","5-10","222","4.63","28.5","15","121","","","Chicago Bears / 3rd / 73rd pick / 2019"
"28","2019","Jalin Moore","RB","23","","Appalachian State","College Stats","5-10","212","","","27","","","",""
"29","2019","Kyler Murray","QB","21","46","Oklahoma","College Stats","5-10","207","","","","","","","Arizona Cardinals / 1st / 1st pick / 2019"
"30","2019","Nyqwan Murray","WR","","","Florida State","College Stats","5-10","191","4.63","34.0","8","113","7.20","4.40",""
"31","2019","Hunter Renfrow","WR","23","18","Clemson","College Stats","5-10","184","4.59","35.0","7","116","6.80","4.19","Oakland Raiders / 5th / 149th pick / 2019"
"32","2019","Benny Snell","RB","21","7","Kentucky","College Stats","5-10","224","4.66","29.5","16","119","7.07","4.33","Pittsburgh Steelers / 4th / 122nd pick / 2019"
"33","2019","Cole Tracy","K","","","LSU","College Stats","5-10","184","","","","","","",""
"34","2019","Mike Weber","RB","21","","Ohio State","College Stats","5-10","211","4.47","33.5","22","","","","Dallas Cowboys / 7th / 218th pick / 2019"
"35","2019","Johnathan Abram","S","22","9","Mississippi State","College Stats","5-11","205","4.45","","","116","","","Oakland Raiders / 1st / 27th pick / 2019"
"36","2019","Jeff Allison","LB","","","Fresno State","College Stats","5-11","228","4.82","31.0","12","115","7.20","4.45",""
"37","2019","Ryquell Armstead","RB","22","2","Temple","College Stats","5-11","220","4.45","30.0","22","114","7.02","4.29","Jacksonville Jaguars / 5th / 140th pick / 2019"
"38","2019","Deandre Baker","CB","21","6","Georgia","College Stats","5-11","193","4.52","","14","118","","","New York Giants / 1st / 30th pick / 2019"
"39","2019","Corey Ballentine","CB","22","2","Washburn","","5-11","196","4.47","39.5","15","135","6.82","4.14","New York Giants / 6th / 180th pick / 2019"
