"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"1","2021","Stone Forsythe","OL","23","1","Florida","College Stats","6-8","307","5.14","27.5","25","103","7.47","4.65","Seattle Seahawks / 6th / 208th pick / 2021"
"2","2021","Josh Ball","OL","22","","Marshall","College Stats","6-7","308","5.20","27.5","28","106","7.77","4.70","Dallas Cowboys / 4th / 138th pick / 2021"
"3","2021","Landon Young","OT","23","1","Kentucky","College Stats","6-6","310","5.00","30.5","34","108","7.70","4.89","New Orleans Saints / 6th / 206th pick / 2021"
"4","2021","Isaiahh Loudermilk","DE","23","2","Wisconsin","College Stats","6-6","274","5.08","28.5","21","112","7.52","4.55","Pittsburgh Steelers / 5th / 156th pick / 2021"
"5","2021","Walker Little","OT","21","1","Stanford","College Stats","6-7","313","5.30","29.5","24","111","7.44","4.59","Jacksonville Jaguars / 2nd / 45th pick / 2021"
"6","2021","Alaric Jackson","OL","22","0","Iowa","College Stats","6-6","321","5.20","25.0","","103","7.70","",""
"7","2021","Calvin Ashley","OL","","","Florida A&M","","6-6","314","5.49","29.0","15","105","7.00","5.10",""
"8","2021","Adrian Ealy","OL","21","","Oklahoma","College Stats","6-6","321","5.42","24.5","18","104","8.82","4.87",""
"9","2021","Payton Turner","DL","23","1","Houston","College Stats","6-5","268","","35.5","23","","6.98","4.33","New Orleans Saints / 1st / 28th pick / 2021"
"10","2021","Syrus Tuitele","OL","","","Fresno St.","College Stats","6-5","311","5.21","26.0","36","94","8.25","4.89",""
"11","2021","Jordan Smith","OLB","22","0","Ala-Birmingham","College Stats","6-5","264","4.80","33.0","16","117","","","Jacksonville Jaguars / 4th / 121st pick / 2021"
"12","2021","Gregory Rousseau","DL","20","10","Miami (FL)","College Stats","6-6","266","4.68","30.0","21","115","","","Buffalo Bills / 1st / 30th pick / 2021"
"13","2021","Dillon Radunz","OT","22","1","North Dakota St.","","6-5","301","5.16","32.0","24","112","7.27","4.57","Tennessee Titans / 2nd / 53rd pick / 2021"
"14","2021","Kyle Pitts","TE","20","8","Florida","College Stats","6-5","245","4.44","33.5","22","129","7.12","4.30","Atlanta Falcons / 1st / 4th pick / 2021"
"15","2021","Dayo Odeyingbo","DL","21","1","Vanderbilt","College Stats","6-5","276","","","","","","","Indianapolis Colts / 2nd / 54th pick / 2021"
"16","2021","Trevor Lawrence","QB","21","7","Clemson","College Stats","6-5","213","","","","","","","Jacksonville Jaguars / 1st / 1st pick / 2021"
"17","2021","Tommy Kraemer","OL","22","2","Notre Dame","College Stats","6-5","309","","","","","","",""
"18","2021","Teven Jenkins","OL","23","1","Oklahoma St.","College Stats","6-5","317","5.01","32.5","36","106","7.72","4.66","Chicago Bears / 2nd / 39th pick / 2021"
"19","2021","Warren Jackson","WR","","","Colorado St.","College Stats","6-6","219","4.68","33.5","","123","7.81","4.53",""
"20","2021","Will Fries","OL","22","0","Penn St.","College Stats","6-6","309","5.37","31.0","24","115","7.77","4.53","Indianapolis Colts / 7th / 248th pick / 2021"
"21","2021","Feleipe Franks","QB","23","0","Arkansas","College Stats","6-6","234","4.61","32.5","","117","7.16","4.22",""
"22","2021","Samuel Cosmi","OL","22","4","Texas","College Stats","6-5","314","4.87","30.0","36","117","7.35","4.39","Washington Football Team / 2nd / 51st pick / 2021"
"23","2021","Ben Cleveland","OL","22","2","Georgia","College Stats","6-6","343","5.05","28.0","30","102","","4.88","Baltimore Ravens / 3rd / 94th pick / 2021"
"24","2021","Chauncey Golston","DL","23","2","Iowa","College Stats","6-4","269","4.79","36.0","","119","7.52","4.65","Dallas Cowboys / 3rd / 84th pick / 2021"
"25","2021","Marvin Wilson","DT","22","0","Florida St.","College Stats","6-3","303","5.12","25.5","23","107","7.64","4.91",""
"26","2021","Pat Freiermuth","TE","22","4","Penn St.","College Stats","6-5","251","","","26","","","","Pittsburgh Steelers / 2nd / 55th pick / 2021"
"27","2021","Luke Farrell","TE","23","0","Ohio St.","College Stats","6-5","251","4.79","36.5","22","118","7.14","4.36","Jacksonville Jaguars / 5th / 145th pick / 2021"
"28","2021","Liam Eichenberg","OL","23","7","Notre Dame","College Stats","6-6","306","","26.5","33","105","7.53","4.58","Miami Dolphins / 2nd / 42nd pick / 2021"
"29","2021","Alex Leatherwood","OL","22","8","Alabama","College Stats","6-5","312","4.96","34.5","","118","","","Las Vegas Raiders / 1st / 17th pick / 2021"
"30","2021","Jackson Carman","OT","21","4","Clemson","College Stats","6-4","317","","","","","","","Cincinnati Bengals / 2nd / 46th pick / 2021"
"31","2021","Brett Heggie","OL","","","Florida","College Stats","6-4","310","5.50","26.0","21","105","7.66","4.69",""
"32","2021","Larry Borom","OL","21","3","Missouri","College Stats","6-5","322","5.12","31.0","","","","","Chicago Bears / 5th / 151st pick / 2021"
"33","2021","Shaun Beyer","TE","23","","Iowa","College Stats","6-4","250","4.78","31.5","","119","","4.20",""
"34","2021","Alijah Vera-Tucker","OL","21","5","USC","College Stats","6-4","308","5.05","32.0","36","106","7.67","4.70","New York Jets / 1st / 14th pick / 2021"
"35","2021","Aaron Banks","OL","23","1","Notre Dame","College Stats","6-5","325","5.32","31.0","24","100","7.69","4.89","San Francisco 49ers / 2nd / 48th pick / 2021"
"36","2021","Cole Van Lanen","OL","22","0","Wisconsin","College Stats","6-4","305","5.11","30.0","22","107","7.34","4.64","Green Bay Packers / 6th / 214th pick / 2021"
"37","2021","Kayode Awosika","OL","22","0","Buffalo","College Stats","6-3","307","5.19","30.0","28","100","8.15","4.91",""
"38","2021","Jack Anderson","OL","22","1","Texas Tech","College Stats","6-4","314","5.28","29.5","27","105","7.90","4.83","Buffalo Bills / 7th / 236th pick / 2021"
"39","2021","Branden Mack","WR","","","Temple","College Stats","6-5","217","4.66","31.0","11","115","7.13","4.37",""
"40","2021","Joe Tryon","OLB","21","4","Washington","College Stats","6-5","259","4.69","35.0","22","116","7.18","4.36","Tampa Bay Buccaneers / 1st / 32nd pick / 2021"
"41","2021","Kyle Trask","QB","23","","Florida","College Stats","6-5","236","5.10","31.5","","113","7.08","4.60","Tampa Bay Buccaneers / 2nd / 64th pick / 2021"
"42","2021","Romeo McKnight","DE","22","","Charlotte","College Stats","6-4","252","4.98","38.0","","118","7.06","4.20",""
"43","2021","James Hudson","OL","21","2","Cincinnati","College Stats","6-4","313","5.27","28.5","22","98","8.05","4.79","Cleveland Browns / 4th / 110th pick / 2021"
"44","2021","Creed Humphrey","OL","21","9","Oklahoma","College Stats","6-4","302","5.11","33.0","29","112","7.50","4.49","Kansas City Chiefs / 2nd / 63rd pick / 2021"
"45","2021","Josh Myers","C","22","3","Ohio St.","College Stats","6-5","310","","","29","","","","Green Bay Packers / 2nd / 62nd pick / 2021"
"46","2021","Jayson Oweh","DE","22","3","Penn St.","College Stats","6-5","257","4.36","39.5","21","134","6.83","4.21","Baltimore Ravens / 1st / 31st pick / 2021"
"47","2021","Jaelan Phillips","DL","21","5","Miami (FL)","College Stats","6-5","260","4.56","36.0","21","125","","","Miami Dolphins / 1st / 18th pick / 2021"
"48","2021","Brenden Jaimes","OL","21","1","Nebraska","College Stats","6-5","298","","30.5","25","112","7.50","4.51","Los Angeles Chargers / 5th / 159th pick / 2021"
"49","2021","Penei Sewell","OL","20","7","Oregon","College Stats","6-4","331","5.13","28.0","30","109","7.76","4.68","Detroit Lions / 1st / 7th pick / 2021"
"50","2021","Robert Jones","OL","22","1","Middle Tenn. St.","College Stats","6-4","319","5.36","","","","","",""
"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"51","2021","Kendrick Green","OL","22","5","Illinois","College Stats","6-1","305","4.89","35.5","25","119","7.79","4.67","Pittsburgh Steelers / 3rd / 87th pick / 2021"
"52","2021","Noah Gray","TE","21","0","Duke","College Stats","6-3","240","4.55","35.0","15","115","6.83","4.37","Kansas City Chiefs / 5th / 162nd pick / 2021"
"53","2021","Ta'Quon Graham","DL","22","2","Texas","College Stats","6-3","292","4.89","32.5","32","113","7.31","4.68","Atlanta Falcons / 5th / 148th pick / 2021"
"54","2021","Trevon Grimes","WR","","","Florida","College Stats","6-4","220","4.49","35.0","15","118","6.98","4.28",""
