"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"1","2015","B.J. Catalon","RB","","","TCU","College Stats","5-7","186","4.57","36.0","","114","6.90","4.15",""
"2","2015","Dee Hart","RB","","","Colorado State","College Stats","5-7","199","4.80","33.0","","113","7.20","4.38",""
"3","2015","Trey Williams","RB","22","0","Texas A&M","College Stats","5-7","195","4.49","33.5","18","119","6.84","4.12",""
"4","2015","Mario Alford","WR","23","0","West Virginia","College Stats","5-8","180","4.43","34.0","13","121","6.64","4.07","Cincinnati Bengals / 7th / 238th pick / 2015"
"5","2015","Jamison Crowder","WR","21","35","Duke","College Stats","5-8","185","4.56","37.0","10","115","7.17","4.32","Washington Redskins / 4th / 105th pick / 2015"
"6","2015","Michael Dyer","RB","24","","Louisville","College Stats","5-8","218","4.58","34.0","26","120","","",""
"7","2015","Terrence Magee","RB","21","0","LSU","College Stats","5-8","213","4.62","37.0","22","115","7.52","4.37",""
"8","2015","Josh Robinson","RB","22","0","Mississippi State","College Stats","5-8","217","4.70","32.0","21","113","","","Indianapolis Colts / 6th / 205th pick / 2015"
"9","2015","Ameer Abdullah","RB","21","17","Nebraska","College Stats","5-9","205","4.60","42.5","24","130","6.79","3.95","Detroit Lions / 2nd / 54th pick / 2015"
"10","2015","Mike Davis","RB","22","21","South Carolina","College Stats","5-9","217","4.61","34.0","17","116","7.00","4.18","San Francisco 49ers / 4th / 126th pick / 2015"
"11","2015","Quandre Diggs","CB","22","36","Texas","College Stats","5-9","196","4.56","35.5","17","113","7.22","4.15","Detroit Lions / 6th / 200th pick / 2015"
"12","2015","Jahwan Edwards","RB","22","","Ball State","College Stats","5-9","220","4.80","35.5","16","117","7.63","4.50",""
"13","2015","Ifo Ekpre-Olomu","CB","21","","Oregon","College Stats","5-9","192","4.52","","","","","","Cleveland Browns / 7th / 241st pick / 2015"
"14","2015","Senquez Golson","CB","21","","Mississippi","College Stats","5-9","176","4.46","33.5","15","120","6.81","4.20","Pittsburgh Steelers / 2nd / 56th pick / 2015"
"15","2015","Duke Johnson","RB","21","32","Miami (FL)","College Stats","5-9","207","4.54","33.5","","121","","","Cleveland Browns / 3rd / 77th pick / 2015"
"16","2015","Bobby McCain","CB","21","27","Memphis","College Stats","5-9","195","4.51","36.0","17","130","6.80","3.82","Miami Dolphins / 5th / 145th pick / 2015"
"17","2015","Marcus Murphy","RB","23","2","Missouri","College Stats","5-9","198","4.61","29.0","11","109","","4.40","New Orleans Saints / 7th / 230th pick / 2015"
"18","2015","Thomas Rawls","RB","21","12","Central Michigan","College Stats","5-9","215","4.65","35.5","15","116","","",""
"19","2015","Kevin White","CB","","","TCU","College Stats","5-9","183","4.63","35.5","18","121","","",""
"20","2015","Gus Johnson","RB","","","Stephen F. Austin","","5-10","215","4.70","36.5","26","120","7.09","4.13",""
"21","2015","Braylon Heard","RB","","","Kentucky","College Stats","5-10","198","4.63","30.5","19","116","7.19","4.40",""
"22","2015","Cameron Artis-Payne","RB","24","5","Auburn","College Stats","5-10","212","4.53","36.5","","118","7.13","","Carolina Panthers / 5th / 174th pick / 2015"
"23","2015","Kaelin Clay","WR","23","3","Utah","College Stats","5-10","195","4.51","33.0","10","113","6.97","4.26","Tampa Bay Buccaneers / 6th / 184th pick / 2015"
"24","2015","Phillip Dorsett","WR","22","16","Miami (FL)","College Stats","5-10","185","4.33","37.0","13","122","6.70","4.11","Indianapolis Colts / 1st / 29th pick / 2015"
"25","2015","Lorenzo Doss","CB","20","0","Tulane","College Stats","5-10","182","4.50","33.5","9","115","7.20","4.26","Denver Broncos / 5th / 164th pick / 2015"
"26","2015","Charles Gaines","CB","22","1","Louisville","College Stats","5-10","180","4.44","34.5","","123","7.07","4.20","Cleveland Browns / 6th / 189th pick / 2015"
"27","2015","Antwan Goodley","WR","23","","Baylor","College Stats","5-10","209","4.44","","","","","",""
"28","2015","Doran Grant","CB","22","0","Ohio State","College Stats","5-10","200","4.44","33.0","21","116","","4.33","Pittsburgh Steelers / 4th / 121st pick / 2015"
"29","2015","Justin Hardy","WR","23","9","East Carolina","College Stats","5-10","192","4.56","36.5","11","114","6.63","4.21","Atlanta Falcons / 4th / 107th pick / 2015"
"30","2015","Troy Hill","CB","23","22","Oregon","College Stats","5-10","180","4.55","32.5","","120","6.81","4.21",""
"31","2015","Kyshoen Jarrett","S","21","3","Virginia Tech","College Stats","5-10","200","4.57","33.0","21","109","6.95","4.40","Washington Redskins / 6th / 181st pick / 2015"
"32","2015","Chris Jones","WR","20","55","Alabama","","5-10","182","4.63","32.5","8","119","6.91","4.19","Kansas City Chiefs / 2nd / 37th pick / 2016"
"33","2015","Tyler Lockett","WR","22","61","Kansas State","College Stats","5-10","182","4.40","35.5","","121","6.89","4.07","Seattle Seahawks / 3rd / 69th pick / 2015"
"34","2015","J.J. Nelson","WR","22","12","Ala-Birmingham","","5-10","156","4.28","36.0","","127","7.02","4.15","Arizona Cardinals / 5th / 159th pick / 2015"
"35","2015","Steven Nelson","CB","22","31","Oregon State","College Stats","5-10","197","4.49","34.5","19","115","6.88","4.07","Kansas City Chiefs / 3rd / 98th pick / 2015"
"36","2015","Derron Smith","S","23","3","Fresno State","College Stats","5-10","200","4.61","","","","","","Cincinnati Bengals / 6th / 197th pick / 2015"
"37","2015","D'Joun Smith","CB","22","0","Florida Atlantic","College Stats","5-10","187","4.37","36.0","18","124","6.96","4.26","Indianapolis Colts / 3rd / 65th pick / 2015"
"38","2015","Malcolm Brown","RB","21","10","Texas","College Stats","5-11","224","4.62","34.5","19","117","6.86","4.15",""
"39","2015","Michael Burton","FB","23","0","Rutgers","College Stats","5-11","242","4.65","33.0","25","115","7.20","4.34","Detroit Lions / 5th / 168th pick / 2015"
"40","2015","Ibraheim Campbell","S","22","6","Northwestern","College Stats","5-11","208","4.52","","23","","","","Cleveland Browns / 4th / 115th pick / 2015"
"41","2015","Donald Celiscar","CB","","","West. Michigan","College Stats","5-11","194","4.62","","","120","","",""
"42","2015","David Cobb","RB","21","1","Minnesota","College Stats","5-11","229","4.81","38.5","17","121","","","Tennessee Titans / 5th / 138th pick / 2015"
"43","2015","Justin Coleman","CB","21","16","Tennessee","College Stats","5-11","185","4.53","37.5","20","124","6.61","3.98",""
"44","2015","Tevin Coleman","RB","21","36","Indiana","College Stats","5-11","206","4.40","","22","","","","Atlanta Falcons / 3rd / 73rd pick / 2015"
"45","2015","Ronald Darby","CB","21","33","Florida State","College Stats","5-11","193","4.38","41.5","12","129","6.94","4.14","Buffalo Bills / 2nd / 50th pick / 2015"
"46","2015","Jalston Fowler","FB","24","0","Alabama","College Stats","5-11","254","4.94","33.5","23","114","7.56","4.40","Tennessee Titans / 4th / 108th pick / 2015"
"47","2015","Rashad Greene","WR","22","2","Florida State","College Stats","5-11","182","4.53","36.5","","122","6.88","4.12","Jacksonville Jaguars / 5th / 139th pick / 2015"
"48","2015","Craig Mager","CB","22","4","Texas State","College Stats","5-11","201","4.44","38.0","17","130","6.83","4.07","San Diego Chargers / 3rd / 83rd pick / 2015"
"49","2015","Tevin McDonald","S","22","0","East. Washington","","5-11","195","4.63","33.0","19","112","7.01","4.26",""
"50","2015","Denzel Perryman","ILB","22","37","Miami (FL)","College Stats","5-11","236","4.78","32.0","27","113","","","San Diego Chargers / 2nd / 48th pick / 2015"
"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"51","2015","Damarious Randall","S","22","23","Arizona State","College Stats","5-11","196","4.46","38.0","14","120","6.83","4.07","Green Bay Packers / 1st / 30th pick / 2015"
"52","2015","Jordan Richards","S","22","11","Stanford","College Stats","5-11","211","4.65","32.0","13","111","6.74","4.22","New England Patriots / 2nd / 64th pick / 2015"
"53","2015","Quinten Rollins","CB","22","7","Miami (OH)","College Stats","5-11","195","4.57","36.5","14","122","7.10","4.28","Green Bay Packers / 2nd / 62nd pick / 2015"
"54","2015","JaCorey Shepherd","CB","21","1","Kansas","College Stats","5-11","199","4.62","","14","","","","Philadelphia Eagles / 6th / 191st pick / 2015"
"55","2015","Blake Sims","QB","22","","Alabama","College Stats","5-11","218","4.57","30.5","","115","","",""
"56","2015","Tyler Varga","FB","21","0","Yale","","5-11","222","4.69","","23","","","",""
"57","2015","DeAndrew White","WR","23","0","Alabama","College Stats","5-11","193","4.44","34.5","","118","6.97","4.18",""
"58","2015","Jermaine Whitehead","S","21","5","Auburn","College Stats","5-11","197","4.59","37.0","15","128","6.95","4.11",""
"59","2015","Zach Zenner","FB","23","6","South Dakota State","","5-11","223","4.60","41.0","25","121","7.08","4.14",""
"60","2015","Donatella Luckett","WR","","","Harding","","6-0","211","4.40","34.0","17","118","7.51","4.50",""
"61","2015","Ross Scheuerman","WR","","","Lafayette","","6-0","204","4.62","33.0","15","121","7.08","4.11",""
"62","2015","Nelson Agholor","WR","21","34","USC","College Stats","6-0","198","4.42","","12","","","","Philadelphia Eagles / 1st / 20th pick / 2015"
"63","2015","Jay Ajayi","RB","21","20","Boise State","College Stats","6-0","221","4.57","39.0","19","121","7.10","4.10","Miami Dolphins / 5th / 149th pick / 2015"
"64","2015","Javorius Allen","RB","23","14","USC","College Stats","6-0","221","4.53","35.5","11","121","6.96","4.28","Baltimore Ravens / 4th / 125th pick / 2015"
"65","2015","Adrian Amos","S","21","39","Penn State","College Stats","6-0","218","4.56","35.5","","122","7.09","4.03","Chicago Bears / 5th / 142nd pick / 2015"
"66","2015","Detrick Bonner","S","23","","Virginia Tech","College Stats","6-0","207","4.56","","15","","","",""
"67","2015","Anthony Boone","QB","","","Duke","College Stats","6-0","231","5.03","26.5","","100","7.47","4.62",""
"68","2015","Da'Ron Brown","WR","23","","Northern Illinois","College Stats","6-0","205","4.54","37.0","17","120","7.04","4.11","Kansas City Chiefs / 7th / 233rd pick / 2015"
"69","2015","Alex Carter","CB","20","0","Stanford","College Stats","6-0","196","4.51","40.0","17","121","7.05","4.07","Detroit Lions / 3rd / 80th pick / 2015"
"70","2015","Landon Collins","S","21","46","Alabama","College Stats","6-0","228","4.53","35.0","","120","7.38","4.33","New York Giants / 2nd / 33rd pick / 2015"
"71","2015","John Crockett","RB","23","0","North Dakota State","","6-0","217","4.62","40.0","15","125","7.15","4.25",""
"72","2015","Aaron Davis","OLB","21","","Colorado State","College Stats","6-0","225","4.95","29.0","16","107","7.38","4.37",""
"73","2015","Paul Dawson","ILB","22","1","TCU","College Stats","6-0","235","4.93","28.0","21","109","","4.49","Cincinnati Bengals / 3rd / 99th pick / 2015"
"74","2015","Trey DePriest","ILB","","","Alabama","College Stats","6-0","254","4.93","","","","","",""
"75","2015","Stefon Diggs","WR","21","72","Maryland","College Stats","6-0","195","4.46","35.0","","115","7.03","4.32","Minnesota Vikings / 5th / 146th pick / 2015"
"76","2015","Jacoby Glenn","CB","21","1","Central Florida","College Stats","6-0","179","4.64","34.0","","123","6.97","4.26",""
"77","2015","Chris Hackett","S","","","TCU","College Stats","6-0","195","4.81","32.0","","110","7.12","4.20",""
"78","2015","Rannell Hall","WR","22","0","Central Florida","College Stats","6-0","198","4.60","41.0","16","132","6.86","4.15",""
"79","2015","Ben Heeney","ILB","22","3","Kansas","College Stats","6-0","231","4.59","33.5","19","120","6.68","4.00","Oakland Raiders / 5th / 140th pick / 2015"
"80","2015","Kenny Hilliard","RB","23","","LSU","College Stats","6-0","226","4.83","27.0","","111","7.17","4.40","Houston Texans / 7th / 235th pick / 2015"
"81","2015","Gerod Holliman","S","20","","Louisville","College Stats","6-0","218","4.62","","17","","","","Pittsburgh Steelers / 7th / 239th pick / 2015"
"82","2015","Mike Hull","OLB","23","5","Penn State","College Stats","6-0","237","4.68","","31","","6.99","4.15",""
"83","2015","Joey Iosefa","FB","23","0","Hawaii","College Stats","6-0","247","5.02","31.5","30","110","7.24","4.33","Tampa Bay Buccaneers / 7th / 231st pick / 2015"
"84","2015","Kevin Johnson","CB","22","12","Wake Forest","College Stats","6-0","188","4.52","41.5","","130","6.79","3.89","Houston Texans / 1st / 16th pick / 2015"
"85","2015","Eric Kendricks","ILB","23","58","UCLA","College Stats","6-0","232","4.61","38.0","19","124","","","Minnesota Vikings / 2nd / 45th pick / 2015"
"86","2015","Josh Lambo","K","24","18","Texas A&M","College Stats","6-0","216","5.16","","","","","",""
"87","2015","Jeremy Langford","RB","23","7","Michigan State","College Stats","6-0","208","4.42","34.5","","118","7.22","4.32","Chicago Bears / 4th / 106th pick / 2015"
"88","2015","Deon Long","WR","","","Maryland","College Stats","6-0","192","4.51","34.0","12","120","6.98","4.27",""
"89","2015","Tre McBride","WR","22","1","William & Mary","","6-0","210","4.41","38.0","16","122","6.96","4.08","Tennessee Titans / 7th / 245th pick / 2015"
"90","2015","Ty Montgomery","WR","22","18","Stanford","College Stats","6-0","221","4.55","40.5","","121","6.97","4.21","Green Bay Packers / 3rd / 94th pick / 2015"
"91","2015","Keith Mumphery","WR","22","2","Michigan State","College Stats","6-0","215","4.54","32.5","","121","7.07","4.25","Houston Texans / 5th / 175th pick / 2015"
"92","2015","Garry Peters","CB","","","Clemson","College Stats","6-0","191","4.61","32.5","7","119","6.80","4.00",""
"93","2015","Marcus Peters","CB","22","62","Washington","College Stats","6-0","197","4.53","37.5","17","121","7.08","4.08","Kansas City Chiefs / 1st / 18th pick / 2015"
"94","2015","Hayes Pullard","ILB","22","9","USC","College Stats","6-0","240","4.78","31.0","19","110","7.07","4.39","Cleveland Browns / 7th / 219th pick / 2015"
"95","2015","Jared Roberts","K","","","Colorado State","College Stats","6-0","210","5.02","","","","","",""
"96","2015","Ezell Ruffin","WR","22","","San Diego State","College Stats","6-0","218","4.68","27.5","17","110","7.35","4.58",""
