"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"1","2019","Zach Gentry","TE","22","1","Michigan","College Stats","6-8","265","4.90","29.5","12","110","7.40","4.53","Pittsburgh Steelers / 5th / 141st pick / 2019"
"2","2019","Jackson Barton","OT","23","0","Utah","College Stats","6-7","310","5.18","27.0","25","109","7.85","4.66","Indianapolis Colts / 7th / 240th pick / 2019"
"3","2019","Tyree Jackson","QB","21","0","Buffalo","College Stats","6-7","249","4.59","34.5","","120","7.09","4.28",""
"4","2019","Fred Johnson","OL","21","5","Florida","College Stats","6-7","326","","","","","","",""
"5","2019","Anthony Nelson","DL","22","6","Iowa","College Stats","6-7","271","4.82","35.5","18","118","6.95","4.23","Tampa Bay Buccaneers / 4th / 107th pick / 2019"
"6","2019","Yosh Nijman","OT","23","7","Virginia Tech","College Stats","6-7","324","","","27","114","8.07","4.50",""
"7","2019","Ryan Pope","OT","22","","San Diego State","College Stats","6-7","320","","","25","","","",""
"8","2019","Isaiah Prince","OT","21","4","Ohio State","College Stats","6-6","305","5.09","27.0","23","115","7.90","5.02","Miami Dolphins / 6th / 202nd pick / 2019"
"9","2019","Tyler Roemer","OT","21","","San Diego State","College Stats","6-6","312","5.21","30.5","18","108","7.75","4.76",""
"10","2019","Beau Benzschawel","OL","23","0","Wisconsin","College Stats","6-6","309","5.24","","20","","","",""
"11","2019","Kendall Blanton","TE","23","0","Missouri","College Stats","6-6","262","4.95","31.0","22","113","7.37","4.42",""
"12","2019","Dennis Daley","OT","22","9","South Carolina","College Stats","6-5","317","5.23","26.5","20","103","7.95","4.92","Carolina Panthers / 6th / 212th pick / 2019"
"13","2019","Michael Deiter","OL","22","10","Wisconsin","College Stats","6-5","309","5.23","28.0","21","105","7.88","4.81","Miami Dolphins / 3rd / 78th pick / 2019"
"14","2019","David Edwards","OT","21","22","Wisconsin","College Stats","6-6","308","5.28","25.5","","99","7.69","4.77","Los Angeles Rams / 5th / 169th pick / 2019"
"15","2019","Darryl Johnson","EDGE","21","3","North Carolina A&T","","6-6","253","","","20","","","","Buffalo Bills / 7th / 225th pick / 2019"
"16","2019","Michael Jordan","OT","21","11","Ohio State","College Stats","6-6","312","5.27","32.5","19","116","7.71","4.71","Cincinnati Bengals / 4th / 136th pick / 2019"
"17","2019","Kaleb McGary","OT","24","22","Washington","College Stats","6-7","317","5.05","33.5","23","111","7.66","4.58","Atlanta Falcons / 1st / 31st pick / 2019"
"18","2019","Trey Pipkins","OT","22","8","Sioux Falls","","6-6","309","5.12","33.5","16","114","7.61","4.70","Los Angeles Chargers / 3rd / 91st pick / 2019"
"19","2019","Max Scharping","OT","22","17","Northern Illinois","College Stats","6-6","327","","28.0","27","108","7.77","4.69","Houston Texans / 2nd / 55th pick / 2019"
"20","2019","Montez Sweat","EDGE","22","20","Mississippi State","College Stats","6-6","260","4.41","36.0","21","125","7.00","4.29","Washington Redskins / 1st / 26th pick / 2019"
