"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"1","2018","Quadree Henderson","WR","21","0","Pittsburgh","College Stats","5-8","192","4.50","32.5","12","120","6.89","4.28",""
"2","2018","Nyheim Hines","RB","21","24","North Carolina State","College Stats","5-8","198","4.38","35.5","","119","7.18","4.35","Indianapolis Colts / 4th / 104th pick / 2018"
"3","2018","Demario Richard","RB","","","Arizona State","","5-9","218","4.70","29.5","12","115","","",""
"4","2018","Braxton Berrios","WR","22","9","Miami (FL)","College Stats","5-9","184","","","11","","","","New England Patriots / 6th / 210th pick / 2018"
"5","2018","Chase Edmonds","RB","21","18","Fordham","","5-9","205","4.55","34.0","19","122","6.79","4.07","Arizona Cardinals / 4th / 134th pick / 2018"
"6","2018","Grant Haley","CB","22","8","Penn State","College Stats","5-9","190","4.44","34.0","15","119","6.51","3.94",""
"7","2018","Avonte Maddox","CB","21","12","Pittsburgh","College Stats","5-9","180","4.39","37.0","13","125","6.51","4.00","Philadelphia Eagles / 4th / 125th pick / 2018"
"8","2018","Ray-ray McCloud","WR","21","3","Clemson","College Stats","5-9","190","4.53","34.5","13","113","","","Buffalo Bills / 6th / 187th pick / 2018"
"9","2018","D.J. Reed","CB","21","12","Kansas State","College Stats","5-9","188","4.51","36.5","11","","","","San Francisco 49ers / 5th / 142nd pick / 2018"
"10","2018","Mike Badgley","K","","","Miami (FL)","","5-10","183","4.94","","","111","","",""
"11","2018","Drew Brown","K","","","Nebraska","College Stats","5-10","208","","","","","","",""
"12","2018","Rashard Fant","CB","","","Indiana","College Stats","5-10","175","","","","","","",""
"13","2018","Quinton Flowers","QB","","","South Florida","College Stats","5-10","214","4.63","","","112","6.81","4.57",""
"14","2018","Kyle Hicks","RB","","","TCU","College Stats","5-10","204","4.63","36.5","13","122","","",""
"15","2018","Keke Coutee","WR","21","7","Texas Tech","College Stats","5-10","181","4.43","34.5","14","113","6.93","4.15","Houston Texans / 4th / 103rd pick / 2018"
"16","2018","Duke Dawson","CB","22","3","Florida","College Stats","5-10","208","4.46","","15","","","","New England Patriots / 2nd / 56th pick / 2018"
"17","2018","Derrius Guice","RB","20","2","LSU","College Stats","5-10","224","4.49","31.5","15","","","","Washington Redskins / 2nd / 59th pick / 2018"
"18","2018","Richie James","WR","22","7","Middle Tennessee State","","5-10","183","4.48","35.5","6","122","6.87","4.16","San Francisco 49ers / 7th / 240th pick / 2018"
"19","2018","Danny Johnson","CB","22","4","Southern","","5-10","185","4.44","35.0","15","123","","",""
"20","2018","John Kelly","RB","21","1","Tennessee","College Stats","5-10","216","","35.0","15","120","7.13","4.51","Los Angeles Rams / 6th / 176th pick / 2018"
"21","2018","Christian Kirk","WR","21","26","Texas A&M","College Stats","5-10","201","4.47","35.5","20","115","7.09","4.45","Arizona Cardinals / 2nd / 47th pick / 2018"
"22","2018","Steven Mitchell","WR","23","0","USC","College Stats","5-10","189","4.56","32.5","13","121","6.75","4.40",""
"23","2018","Darius Phillips","CB","22","7","West. Michigan","College Stats","5-10","190","4.54","","","","","","Cincinnati Bengals / 5th / 170th pick / 2018"
"24","2018","Roc Thomas","RB","22","0","Jacksonville State","","5-10","198","4.56","35.5","16","125","","",""
"25","2018","Akrum Wadley","RB","22","","Iowa","College Stats","5-10","194","4.54","32.0","12","","","",""
"26","2018","Mark Walton","RB","20","3","Miami (FL)","College Stats","5-10","202","4.60","31.5","18","118","","","Cincinnati Bengals / 4th / 112th pick / 2018"
"27","2018","Denzel Ward","CB","20","25","Ohio State","College Stats","5-10","191","4.32","39.0","16","136","","","Cleveland Browns / 1st / 4th pick / 2018"
"28","2018","Justin Crawford","RB","","","West Virginia","College Stats","5-11","199","4.64","33.5","11","122","","",""
"29","2018","Stephen Roberts","S","","","Auburn","College Stats","5-11","189","4.53","34.0","","121","","",""
"30","2018","Jaire Alexander","CB","21","23","Louisville","College Stats","5-11","192","4.38","35.0","14","127","6.71","3.98","Green Bay Packers / 1st / 18th pick / 2018"
"31","2018","Antonio Callaway","WR","21","5","Florida","College Stats","5-11","200","4.41","34.0","","121","","","Cleveland Browns / 4th / 105th pick / 2018"
"32","2018","Nick Chubb","RB","22","37","Georgia","College Stats","5-11","227","4.52","38.5","29","128","7.09","4.25","Cleveland Browns / 2nd / 35th pick / 2018"
"33","2018","Lavon Coleman","RB","23","0","Washington","College Stats","5-11","215","4.65","33.0","23","120","","",""
"34","2018","Jarvion Franklin","RB","","","West. Michigan","College Stats","5-11","239","4.63","30.0","18","109","6.93","4.31",""
"35","2018","Royce Freeman","RB","22","11","Oregon","College Stats","5-11","229","4.54","34.0","17","118","6.90","4.16","Denver Broncos / 3rd / 71st pick / 2018"
