"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"1","2016","Deforest Buckner","DE","21","64","Oregon","College Stats","6-7","291","5.05","32.0","","116","7.51","4.47","San Francisco 49ers / 1st / 7th pick / 2016"
"2","2016","Taylor Decker","OT","22","37","Ohio State","College Stats","6-7","310","5.23","29.0","20","101","7.70","4.76","Detroit Lions / 1st / 16th pick / 2016"
"3","2016","Paxton Lynch","QB","22","2","Memphis","College Stats","6-7","244","4.86","36.0","","118","7.14","4.26","Denver Broncos / 1st / 26th pick / 2016"
"4","2016","Tyler Marz","OT","23","1","Wisconsin","College Stats","6-7","316","5.54","27.5","19","99","8.38","4.97",""
"5","2016","Carl Nassib","DE","22","20","Penn State","College Stats","6-7","277","4.84","28.5","21","114","7.27","4.37","Cleveland Browns / 3rd / 65th pick / 2016"
"6","2016","Shawn Oakman","DE","23","","Baylor","College Stats","6-8","287","4.96","32.0","23","123","7.53","4.56",""
"7","2016","Pearce Slater","OT","21","","San Diego State","College Stats","6-7","329","5.42","23.0","17","92","8.36","5.12",""
"8","2016","Mehdi Abdesmad","DE","24","0","Boston Col.","College Stats","6-6","284","5.10","29.5","25","108","7.55","4.62",""
"9","2016","Jack Conklin","OT","21","53","Michigan State","College Stats","6-6","308","5.00","30.0","25","103","7.63","4.57","Tennessee Titans / 1st / 8th pick / 2016"
"10","2016","Spencer Drango","OT","23","8","Baylor","College Stats","6-6","315","5.27","27.0","30","100","7.88","4.66","Cleveland Browns / 5th / 168th pick / 2016"
"11","2016","Parker Ehinger","OT","23","4","Cincinnati","College Stats","6-6","310","5.26","27.5","","97","","","Kansas City Chiefs / 4th / 105th pick / 2016"
"12","2016","Graham Glasgow","C","23","35","Michigan","College Stats","6-6","307","5.13","25.0","23","106","7.63","4.63","Detroit Lions / 3rd / 95th pick / 2016"
"13","2016","Joe Haeg","OT","22","24","North Dakota State","","6-6","304","5.16","27.5","","111","7.47","4.47","Indianapolis Colts / 5th / 155th pick / 2016"
"14","2016","Jerald Hawkins","OT","22","2","LSU","College Stats","6-6","305","5.23","23.5","23","100","8.19","4.89","Pittsburgh Steelers / 4th / 123rd pick / 2016"
"15","2016","Joel Heath","DT","22","7","Michigan State","College Stats","6-5","293","5.02","33.0","26","113","7.44","4.52",""
"16","2016","Tyler Higbee","TE","23","22","Western Kentucky","College Stats","6-6","249","4.77","","","","","","Los Angeles Rams / 4th / 110th pick / 2016"
"17","2016","Dominick Jackson","OT","","","Alabama","College Stats","6-5","313","5.38","26.0","20","97","","",""
"18","2016","Chris Jones","DT","21","55","Mississippi State","College Stats","6-6","310","5.03","24.5","26","106","7.44","4.62","Kansas City Chiefs / 2nd / 37th pick / 2016"
"19","2016","Ufomba Kamalu","DE","23","2","Miami (FL)","College Stats","6-5","295","5.01","25.0","26","106","7.32","4.58",""
"20","2016","Bronson Kaufusi","DE","24","2","BYU","College Stats","6-6","285","4.87","30.0","25","111","7.03","4.25","Baltimore Ravens / 3rd / 70th pick / 2016"
"21","2016","Alex Lewis","OT","23","15","Nebraska","College Stats","6-6","312","5.22","29.5","27","100","7.94","4.72","Baltimore Ravens / 4th / 130th pick / 2016"
"22","2016","Dean Lowry","DE","21","35","Northwestern","College Stats","6-6","296","4.87","32.5","30","114","7.26","4.38","Green Bay Packers / 4th / 137th pick / 2016"
"23","2016","Alex McCalister","DE","22","","Florida","College Stats","6-6","239","4.80","34.5","","128","7.01","4.00","Philadelphia Eagles / 7th / 240th pick / 2016"
"24","2016","Kyle Murphy","OT","22","2","Stanford","College Stats","6-6","305","5.19","","23","","","","Green Bay Packers / 6th / 200th pick / 2016"
"25","2016","Stephane Nembot","OT","24","","Colorado","College Stats","6-7","322","5.39","26.5","32","103","8.55","5.15",""
"26","2016","Jason Spriggs","OT","21","10","Indiana","College Stats","6-6","301","4.94","31.5","31","115","7.70","4.44","Green Bay Packers / 2nd / 48th pick / 2016"
"27","2016","Ronnie Stanley","OT","21","42","Notre Dame","College Stats","6-6","312","5.20","28.5","","","8.03","4.90","Baltimore Ravens / 1st / 6th pick / 2016"
"28","2016","Nate Sudfeld","QB","22","1","Indiana","College Stats","6-6","234","5.02","29.0","","105","","","Washington Redskins / 6th / 187th pick / 2016"
"29","2016","John Theus","OT","22","1","Georgia","College Stats","6-6","313","5.22","28.0","","103","7.90","4.78","San Francisco 49ers / 5th / 145th pick / 2016"
"30","2016","Halapoulivaati Vaitai","OT","22","26","TCU","College Stats","6-6","320","5.26","29.0","23","113","8.26","5.00","Philadelphia Eagles / 5th / 164th pick / 2016"
"31","2016","Nick Vannett","TE","23","7","Ohio State","College Stats","6-6","257","4.76","30.5","17","111","7.05","4.20","Seattle Seahawks / 3rd / 94th pick / 2016"
"32","2016","Jerell Adams","TE","23","2","South Carolina","College Stats","6-5","247","4.64","32.5","","117","7.05","4.31","New York Giants / 6th / 184th pick / 2016"
"33","2016","Vadal Alexander","OT","21","6","LSU","College Stats","6-5","326","5.57","24.0","25","95","8.04","4.90","Oakland Raiders / 7th / 234th pick / 2016"
"34","2016","Jimmy Bean","DE","22","","Oklahoma State","College Stats","6-5","264","4.87","","20","","","",""
"35","2016","Willie Beavers","OT","22","0","West. Michigan","College Stats","6-5","321","5.28","25.5","20","103","7.96","4.71","Minnesota Vikings / 4th / 121st pick / 2016"
"36","2016","Caleb Benenoch","OT","21","12","UCLA","College Stats","6-5","311","4.98","28.0","","104","8.15","5.11","Tampa Bay Buccaneers / 5th / 148th pick / 2016"
"37","2016","Joey Bosa","DE","20","52","Ohio State","College Stats","6-5","269","4.86","32.0","24","120","6.89","4.21","San Diego Chargers / 1st / 3rd pick / 2016"
"38","2016","Le'Raven Clark","OT","22","12","Texas Tech","College Stats","6-5","316","5.16","","18","","","","Indianapolis Colts / 3rd / 82nd pick / 2016"
"39","2016","Shon Coleman","OT","24","6","Auburn","College Stats","6-5","307","5.18","","22","","","","Cleveland Browns / 3rd / 76th pick / 2016"
"40","2016","Fahn Cooper","OT","22","","Mississippi","College Stats","6-4","303","5.17","25.0","19","102","7.85","4.89","San Francisco 49ers / 5th / 174th pick / 2016"
"41","2016","Kevin Dodd","DE","23","2","Clemson","College Stats","6-5","277","4.86","","","","","","Tennessee Titans / 2nd / 33rd pick / 2016"
"42","2016","Kyler Fackrell","OLB","24","17","Utah State","College Stats","6-5","245","4.72","34.5","15","121","","","Green Bay Packers / 3rd / 88th pick / 2016"
"43","2016","Leonard Floyd","OLB","23","47","Georgia","College Stats","6-6","244","4.60","39.5","","127","","","Chicago Bears / 1st / 9th pick / 2016"
"44","2016","Joshua Garnett","OG","22","5","Stanford","College Stats","6-4","312","5.32","29.0","30","99","7.62","4.64","San Francisco 49ers / 1st / 28th pick / 2016"
"45","2016","David Grinnage","TE","22","0","North Carolina State","College Stats","6-5","248","4.90","29.5","","106","","",""
"46","2016","Temarrick Hemingway","TE","22","0","South Carolina State","","6-5","244","4.71","30.5","18","115","6.88","4.31","Los Angeles Rams / 6th / 177th pick / 2016"
"47","2016","Hunter Henry","TE","21","25","Arkansas","College Stats","6-5","250","4.79","","13","","","","San Diego Chargers / 2nd / 35th pick / 2016"
"48","2016","Germain Ifedi","OT","21","40","Texas A&M","College Stats","6-6","324","5.27","32.5","24","109","","4.75","Seattle Seahawks / 1st / 31st pick / 2016"
"49","2016","Tyler Johnstone","OT","23","","Oregon","College Stats","6-5","301","5.21","30.5","24","104","7.31","4.60",""
"50","2016","Cardale Jones","QB","23","0","Ohio State","College Stats","6-5","253","4.81","36.0","","","","","Buffalo Bills / 4th / 139th pick / 2016"
"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"51","2016","Darius Latham","DT","21","2","Indiana","College Stats","6-4","311","5.32","29.0","","100","7.76","4.63",""
"52","2016","Jake McGee","TE","24","","Florida","College Stats","6-5","250","4.83","","17","","","",""
"53","2016","Giorgio Newberry","DE","","","Florida State","College Stats","6-5","285","4.94","30.0","20","114","7.53","4.78",""
"54","2016","Alex Redmond","OG","21","12","UCLA","College Stats","6-5","294","5.30","28.0","30","111","7.75","4.90",""
"55","2016","Beau Sandland","TE","23","","Montana State","","6-4","253","4.74","35.0","23","124","7.10","4.33","Carolina Panthers / 7th / 252nd pick / 2016"
"56","2016","Brandon Shell","OT","24","27","South Carolina","College Stats","6-5","324","5.22","30.5","22","112","","","New York Jets / 5th / 158th pick / 2016"
"57","2016","Joel Stave","QB","23","","Wisconsin","College Stats","6-5","236","4.80","33.5","","115","7.29","4.33",""
"58","2016","Joe Thuney","OT","23","54","North Carolina State","College Stats","6-5","304","4.95","28.5","28","110","7.47","4.54","New England Patriots / 3rd / 78th pick / 2016"
"59","2016","Cole Toner","OT","21","2","Harvard","","6-5","306","5.32","26.0","22","103","7.88","4.59","Arizona Cardinals / 5th / 170th pick / 2016"
"60","2016","Max Tuerk","C","22","0","USC","College Stats","6-5","298","5.12","","22","","","","San Diego Chargers / 3rd / 66th pick / 2016"
"61","2016","Laremy Tunsil","OT","21","40","Mississippi","College Stats","6-5","310","5.23","","","","","","Miami Dolphins / 1st / 13th pick / 2016"
