"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"62","2016","Jihad Ward","DT","21","12","Illinois","College Stats","6-5","297","5.11","25.0","20","111","7.38","4.63","Oakland Raiders / 2nd / 44th pick / 2016"
"63","2016","Stephen Weatherly","OLB","21","13","Vanderbilt","College Stats","6-4","267","4.61","31.0","23","117","","","Minnesota Vikings / 7th / 227th pick / 2016"
"64","2016","Carson Wentz","QB","23","63","North Dakota State","","6-5","237","4.77","30.5","","118","6.86","4.15","Philadelphia Eagles / 1st / 2nd pick / 2016"
"65","2016","Bryce Williams","TE","23","","East Carolina","College Stats","6-6","257","4.94","29.5","19","111","7.19","4.53",""
"66","2016","Avery Young","OT","23","","Auburn","College Stats","6-5","328","5.39","","","","8.22","4.91",""
"67","2016","Ronald Blair","DE","23","8","Appalachian State","College Stats","6-2","284","5.15","30.0","32","113","7.95","4.53","San Francisco 49ers / 5th / 142nd pick / 2016"
"68","2016","Jake Brendel","C","23","3","UCLA","College Stats","6-3","303","5.01","28.0","25","108","7.31","4.27",""
"69","2016","Jacoby Brissett","QB","23","25","North Carolina State","College Stats","6-4","231","4.94","31.0","","113","7.17","4.53","New England Patriots / 3rd / 91st pick / 2016"
"70","2016","Vernon Butler","DT","21","14","Louisiana Tech","College Stats","6-4","323","5.33","29.5","26","104","7.82","4.76","Carolina Panthers / 1st / 30th pick / 2016"
"71","2016","Devon Cajuste","WR","23","","Stanford","College Stats","6-4","234","4.62","36.0","12","123","6.49","4.20",""
"72","2016","Shilique Calhoun","DE","23","5","Michigan State","College Stats","6-4","251","4.82","35.0","23","115","6.97","4.25","Oakland Raiders / 3rd / 75th pick / 2016"
"73","2016","Connor Cook","QB","23","0","Michigan State","College Stats","6-4","217","4.79","33.0","","113","7.21","4.28","Oakland Raiders / 4th / 100th pick / 2016"
"74","2016","Joe Dahl","OT","22","12","Washington State","College Stats","6-4","304","5.18","31.0","28","109","7.64","4.77","Detroit Lions / 5th / 151st pick / 2016"
"75","2016","Riley Dixon","P","22","12","Syracuse","College Stats","6-4","221","5.04","","","","","","Denver Broncos / 7th / 228th pick / 2016"
"76","2016","Jeff Driskel","QB","22","6","Louisiana Tech","College Stats","6-4","234","4.56","32.0","","122","7.19","4.25","San Francisco 49ers / 6th / 207th pick / 2016"
"77","2016","Travis Feeney","OLB","23","","Washington","College Stats","6-4","230","4.50","40.0","","130","7.20","4.42","Pittsburgh Steelers / 6th / 220th pick / 2016"
"78","2016","Jared Goff","QB","21","63","California","College Stats","6-4","215","4.82","27.0","","110","7.17","4.47","Los Angeles Rams / 1st / 1st pick / 2016"
"79","2016","Adam Gotsis","DT","23","25","Georgia Tech","College Stats","6-4","287","4.88","","","","","","Denver Broncos / 2nd / 63rd pick / 2016"
"80","2016","Christian Hackenberg","QB","21","","Penn State","College Stats","6-4","223","4.78","31.0","","114","7.04","4.33","New York Jets / 2nd / 51st pick / 2016"
"81","2016","Austin Hooper","TE","21","27","Stanford","College Stats","6-4","254","4.72","33.0","19","117","7.00","4.32","Atlanta Falcons / 3rd / 81st pick / 2016"
"82","2016","Branden Jackson","DE","23","4","Texas Tech","College Stats","6-4","273","5.06","31.5","20","113","7.40","4.77",""
"83","2016","Quinton Jefferson","DT","22","22","Maryland","College Stats","6-4","291","4.95","29.0","24","","7.95","4.37","Seattle Seahawks / 5th / 147th pick / 2016"
"84","2016","Austin Johnson","DT","21","19","Penn State","College Stats","6-4","314","5.32","26.0","25","96","7.84","4.75","Tennessee Titans / 2nd / 43rd pick / 2016"
"85","2016","Nila Kasitati","OG","22","","Oklahoma","College Stats","6-3","317","5.32","27.5","12","107","8.30","4.83",""
"86","2016","Jayron Kearse","S","22","12","Clemson","College Stats","6-4","216","4.62","31.5","16","124","7.06","","Minnesota Vikings / 7th / 244th pick / 2016"
"87","2016","Ryan Kelly","C","22","48","Alabama","College Stats","6-4","311","5.03","30.0","26","103","7.58","4.59","Indianapolis Colts / 1st / 18th pick / 2016"
"88","2016","Denver Kirkland","OT","22","2","Arkansas","College Stats","6-4","335","5.55","22.5","19","94","8.72","5.06",""
"89","2016","Ryan Malleck","TE","22","0","Virginia Tech","College Stats","6-4","247","4.77","34.5","18","121","7.00","4.33",""
"90","2016","Nick Martin","C","22","30","Notre Dame","College Stats","6-4","299","5.22","28.0","28","97","7.57","4.72","Houston Texans / 2nd / 50th pick / 2016"
"91","2016","Connor McGovern","OG","22","25","Missouri","College Stats","6-4","306","5.11","33.0","33","109","7.50","4.65","Denver Broncos / 5th / 144th pick / 2016"
"92","2016","Mekale McKay","WR","22","","Cincinnati","College Stats","6-4","207","4.55","35.0","12","123","7.08","4.63",""
"93","2016","Will Monday","P","23","","Duke","College Stats","6-4","212","5.10","","","","","",""
"94","2016","David Morgan","TE","22","1","Texas-San Antonio","College Stats","6-4","262","","","","","","","Minnesota Vikings / 6th / 188th pick / 2016"
"95","2016","Rees Odhiambo","OT","23","4","Boise State","College Stats","6-4","314","5.17","","23","","","","Seattle Seahawks / 3rd / 97th pick / 2016"
"96","2016","Emmanuel Ogbah","DE","22","35","Oklahoma State","College Stats","6-4","273","4.63","35.5","20","121","7.26","4.50","Cleveland Browns / 2nd / 32nd pick / 2016"
"97","2016","Romeo Okwara","DE","20","18","Notre Dame","College Stats","6-5","265","4.90","33.0","23","120","7.38","4.53",""
"98","2016","Drew Ott","DE","22","","Iowa","College Stats","6-4","273","4.88","","","","","",""
"99","2016","Joshua Perry","ILB","21","1","Ohio State","College Stats","6-4","254","4.68","33.5","20","124","","","San Diego Chargers / 4th / 102nd pick / 2016"
"100","2016","A'Shawn Robinson","DT","20","27","Alabama","College Stats","6-4","307","5.20","26.0","22","106","7.80","4.74","Detroit Lions / 2nd / 46th pick / 2016"
"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"101","2016","Isaac Seumalo","OG","22","19","Oregon State","College Stats","6-4","303","5.19","26.0","","105","7.40","4.52","Philadelphia Eagles / 3rd / 79th pick / 2016"
"102","2016","Sebastian Tretola","OG","23","0","Arkansas","College Stats","6-4","314","5.45","23.5","22","90","7.94","5.02","Tennessee Titans / 6th / 193rd pick / 2016"
"103","2016","Landon Turner","OG","22","1","North Carolina","College Stats","6-4","330","5.58","19.0","30","88","","",""
"104","2016","Adolphus Washington","DT","21","9","Ohio State","College Stats","6-3","301","5.17","27.0","21","99","8.06","4.79","Buffalo Bills / 3rd / 80th pick / 2016"
"105","2016","De'Runnya Wilson","WR","21","","Mississippi State","College Stats","6-5","224","4.85","28.0","","113","","",""
"106","2016","Anthony Zettel","DT","23","9","Penn State","College Stats","6-4","277","4.81","30.5","28","109","7.63","4.39","Detroit Lions / 6th / 202nd pick / 2016"
"107","2016","Geronimo Allison","WR","22","9","Illinois","College Stats","6-3","196","4.67","33.0","","127","7.40","4.28",""
"108","2016","Stephen Anderson","TE","23","7","California","College Stats","6-2","230","4.59","38.0","16","119","","",""
"109","2016","Evan Boehm","C","22","13","Missouri","College Stats","6-2","302","5.33","28.5","24","96","7.52","4.69","Arizona Cardinals / 4th / 128th pick / 2016"
"110","2016","Ben Braunecker","TE","22","0","Harvard","","6-3","250","4.73","35.5","20","121","6.90","4.20",""
"111","2016","Jonathan Bullard","DE","22","11","Florida","College Stats","6-3","285","4.93","32.0","23","116","7.31","4.56","Chicago Bears / 3rd / 72nd pick / 2016"
"112","2016","De'Vondre Campbell","OLB","22","46","Minnesota","College Stats","6-4","232","4.58","34.0","16","116","","","Atlanta Falcons / 4th / 115th pick / 2016"
"113","2016","Kenny Clark","DT","20","44","UCLA","College Stats","6-3","314","5.06","28.5","29","102","","4.62","Green Bay Packers / 1st / 27th pick / 2016"
"114","2016","Cody Core","WR","21","3","Mississippi","College Stats","6-3","205","4.47","31.5","14","119","","","Cincinnati Bengals / 6th / 199th pick / 2016"
"115","2016","Kamalei Correa","DE","21","12","Boise State","College Stats","6-3","243","4.69","33.0","21","108","","","Baltimore Ravens / 2nd / 42nd pick / 2016"
"116","2016","James Cowser","DE","25","3","Southern Utah","","6-3","248","4.82","31.5","21","111","6.80","4.31",""
"117","2016","Brandon Doughty","QB","24","","Western Kentucky","College Stats","6-3","213","5.22","27.0","","103","7.49","4.52","Miami Dolphins / 7th / 223rd pick / 2016"
"118","2016","Jason Fanaika","DE","23","","Utah","College Stats","6-2","271","4.92","35.5","23","113","7.06","4.39",""
"119","2016","Josh Forrest","ILB","24","2","Kentucky","College Stats","6-3","249","4.91","30.5","11","118","","","Los Angeles Rams / 6th / 190th pick / 2016"
"120","2016","Keyarris Garrett","WR","23","","Tulsa","College Stats","6-3","220","4.53","36.5","14","128","7.30","4.33",""
"121","2016","Darrell Greene","OG","23","","San Diego State","College Stats","6-3","321","5.20","21.5","28","98","8.07","4.98",""
"122","2016","T.J. Green","S","20","6","Clemson","College Stats","6-2","209","4.34","35.5","13","129","","","Indianapolis Colts / 2nd / 57th pick / 2016"
"123","2016","Glenn Gronkowski","FB","22","0","Kansas State","College Stats","6-2","239","4.71","33.0","17","120","7.10","4.45",""
"124","2016","Derrick Henry","RB","22","53","Alabama","College Stats","6-3","247","4.54","37.0","22","130","7.20","4.38","Tennessee Titans / 2nd / 45th pick / 2016"
"125","2016","Willie Henry","DT","21","4","Michigan","College Stats","6-3","303","5.00","30.5","28","110","7.57","4.53","Baltimore Ravens / 4th / 132nd pick / 2016"
"126","2016","Kevin Hogan","QB","23","2","Stanford","College Stats","6-3","218","4.78","32.5","","113","6.90","4.31","Kansas City Chiefs / 5th / 162nd pick / 2016"
"127","2016","Johnny Holton","WR","25","3","Cincinnati","College Stats","6-1","190","4.54","31.5","8","123","","",""
"128","2016","Matt Ioannidis","DT","22","21","Temple","College Stats","6-3","299","5.03","28.0","32","108","7.78","4.71","Washington Redskins / 5th / 152nd pick / 2016"
"129","2016","Jordan Jenkins","OLB","21","32","Georgia","College Stats","6-3","259","4.80","36.5","16","121","","","New York Jets / 3rd / 83rd pick / 2016"
"130","2016","Cayleb Jones","WR","22","","Arizona","College Stats","6-3","209","4.65","33.5","9","","6.99","4.14",""
"131","2016","Matt Judon","DE","23","49","Grand Valley State","","6-3","275","4.73","35.0","30","109","7.67","4.52","Baltimore Ravens / 5th / 146th pick / 2016"
"132","2016","Shaq Lawson","DE","21","21","Clemson","College Stats","6-3","269","4.70","33.0","","120","7.16","4.21","Buffalo Bills / 1st / 19th pick / 2016"
"133","2016","Cory Littleton","OLB","22","37","Washington","College Stats","6-3","238","4.73","29.5","","114","7.11","4.32",""
"134","2016","Curt Maggitt","OLB","23","1","Tennessee","College Stats","6-3","247","4.73","","","","","",""
"135","2016","Cassanova McKinzy","ILB","23","0","Auburn","College Stats","6-1","248","4.83","","21","","","",""
"136","2016","Dadi Nicolas","DE","23","1","Virginia Tech","College Stats","6-3","235","4.74","41.0","14","116","7.04","4.38","Kansas City Chiefs / 6th / 203rd pick / 2016"
"137","2016","Robert Nkemdiche","DT","21","6","Mississippi","College Stats","6-3","294","4.87","35.0","28","116","","","Arizona Cardinals / 1st / 29th pick / 2016"
"138","2016","Nick O'Toole","P","","","West Virginia","College Stats","6-3","219","5.05","","","","","",""
"139","2016","D.J. Reader","DT","21","33","Clemson","College Stats","6-3","327","5.33","29.5","30","99","7.90","4.71","Houston Texans / 5th / 166th pick / 2016"
"140","2016","Jarran Reed","DT","23","38","Alabama","College Stats","6-3","307","5.21","31.0","","104","7.77","4.75","Seattle Seahawks / 2nd / 49th pick / 2016"
"141","2016","Hassan Ridgeway","DT","21","10","Texas","College Stats","6-3","303","5.02","32.0","24","113","8.28","4.82","Indianapolis Colts / 4th / 116th pick / 2016"
"142","2016","Alonzo Russell","WR","23","0","Toledo","College Stats","6-4","206","4.54","29.5","12","112","7.18","4.33",""
"143","2016","Matt Skura","C","23","31","Duke","College Stats","6-3","305","5.39","24.0","27","103","7.89","4.76",""
"144","2016","Charles Tapper","DE","22","0","Oklahoma","College Stats","6-3","271","4.59","34.0","23","119","","","Dallas Cowboys / 4th / 101st pick / 2016"
"145","2016","Lawrence Thomas","DT","22","4","Michigan State","College Stats","6-3","286","4.98","35.0","","113","","",""
"146","2016","Michael Thomas","WR","23","61","Ohio State","College Stats","6-3","212","4.57","35.0","18","126","6.80","4.13","New Orleans Saints / 2nd / 47th pick / 2016"
"147","2016","Ron Thompson","DE","22","","Syracuse","College Stats","6-3","253","4.92","","18","","7.46","4.50",""
"148","2016","Vincent Valentine","DT","22","2","Nebraska","College Stats","6-4","329","5.19","29.0","17","110","8.03","4.59","New England Patriots / 3rd / 96th pick / 2016"
"149","2016","Christian Westerman","OG","23","2","Arizona State","College Stats","6-3","298","5.12","","34","98","7.69","4.71","Cincinnati Bengals / 5th / 161st pick / 2016"
"150","2016","Cody Whitehair","OT","23","40","Kansas State","College Stats","6-4","301","5.02","25.5","16","110","7.32","4.58","Chicago Bears / 2nd / 56th pick / 2016"
"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"151","2016","Josh Woodrum","QB","23","","Liberty","","6-3","231","4.80","31.0","","116","6.74","4.31",""
"152","2016","Connor Wujciak","DT","","","Boston Col.","College Stats","6-2","291","4.91","34.5","22","117","7.32","4.27",""
"153","2016","Brandon Allen","QB","23","4","Arkansas","College Stats","6-1","217","4.84","28.0","","110","7.06","4.33","Jacksonville Jaguars / 6th / 201st pick / 2016"
"154","2016","Jack Allen","C","23","","Michigan State","College Stats","6-1","294","5.29","26.5","23","101","7.90","4.73",""
"155","2016","Austin Blythe","C","23","28","Iowa","College Stats","6-2","298","5.36","27.5","29","99","7.52","4.53","Indianapolis Colts / 7th / 248th pick / 2016"
"156","2016","Tyler Boyd","WR","21","39","Pittsburgh","College Stats","6-1","197","4.58","34.0","11","119","6.90","4.35","Cincinnati Bengals / 2nd / 55th pick / 2016"
"157","2016","Chris Brown","WR","22","","Notre Dame","College Stats","6-2","194","4.48","","","","","",""
"158","2016","Maliek Collins","DT","20","37","Nebraska","College Stats","6-2","311","5.03","29.5","25","109","7.53","4.52","Dallas Cowboys / 3rd / 67th pick / 2016"
"159","2016","Josh Doctson","WR","23","9","TCU","College Stats","6-2","202","4.50","41.0","14","131","6.84","4.08","Washington Redskins / 1st / 22nd pick / 2016"
"160","2016","Thomas Duarte","TE","20","0","UCLA","College Stats","6-2","231","4.72","33.5","12","118","6.97","4.24","Miami Dolphins / 7th / 231st pick / 2016"
"161","2016","Kris Frost","OLB","","","Auburn","College Stats","6-2","240","4.97","29.0","","113","","",""
"162","2016","Javon Hargrave","DT","23","43","South Carolina State","","6-1","309","4.93","34.5","29","109","7.90","4.70","Pittsburgh Steelers / 3rd / 89th pick / 2016"
"163","2016","Drew Kaser","P","23","5","Texas A&M","College Stats","6-2","212","4.95","","","","","","San Diego Chargers / 6th / 179th pick / 2016"
"164","2016","Miles Killebrew","S","22","8","Southern Utah","","6-2","217","4.65","38.0","22","127","6.93","4.18","Detroit Lions / 4th / 111th pick / 2016"
"165","2016","Nick Kwiatkoski","ILB","22","21","West Virginia","College Stats","6-2","243","4.73","32.0","19","120","7.16","4.22","Chicago Bears / 4th / 113th pick / 2016"
"166","2016","Jimmy Landes","LS","23","","Baylor","College Stats","6-1","240","4.95","27.5","","110","7.05","4.38","Detroit Lions / 6th / 210th pick / 2016"
"167","2016","Kenny Lawler","WR","21","","California","College Stats","6-2","203","4.64","31.0","","111","7.13","4.20","Seattle Seahawks / 7th / 243rd pick / 2016"
"168","2016","Ricardo Louis","WR","21","3","Auburn","College Stats","6-2","215","4.43","38.0","18","132","","","Cleveland Browns / 4th / 114th pick / 2016"
"169","2016","Blake Martinez","ILB","22","41","Stanford","College Stats","6-2","237","4.71","28.5","22","113","6.98","4.20","Green Bay Packers / 4th / 131st pick / 2016"
"170","2016","Braxton Miller","WR","23","2","Ohio State","College Stats","6-1","201","4.50","35.0","17","123","6.65","4.07","Houston Texans / 3rd / 85th pick / 2016"
"171","2016","Yannick Ngakoue","DE","20","46","Maryland","College Stats","6-2","252","4.75","34.5","26","118","7.35","4.50","Jacksonville Jaguars / 3rd / 69th pick / 2016"
"172","2016","Jaden Oberkrom","K","","","TCU","College Stats","6-2","186","4.96","","","","","",""
"173","2016","Montese Overton","OLB","24","","East Carolina","College Stats","6-2","223","4.61","34.0","18","123","7.15","4.47",""
"174","2016","Charone Peake","WR","23","1","Clemson","College Stats","6-2","209","4.45","35.5","12","122","6.96","4.46","New York Jets / 7th / 241st pick / 2016"
"175","2016","D.J. Pettway","DE","23","","Alabama","College Stats","6-2","265","4.99","28.0","17","108","7.74","4.69",""
"176","2016","Tyvis Powell","S","22","1","Ohio State","College Stats","6-3","211","4.46","34.5","15","120","7.03","4.25",""
"177","2016","Dak Prescott","QB","22","77","Mississippi State","College Stats","6-2","226","4.79","32.5","","116","7.11","4.32","Dallas Cowboys / 4th / 135th pick / 2016"
"178","2016","Reggie Ragland","ILB","22","23","Alabama","College Stats","6-1","247","4.72","31.5","","116","","4.28","Buffalo Bills / 2nd / 41st pick / 2016"
"179","2016","Sheldon Rankins","DT","21","20","Louisville","College Stats","6-1","299","5.03","34.5","28","118","7.44","4.59","New Orleans Saints / 1st / 12th pick / 2016"
"180","2016","Rashard Robinson","CB","20","9","Louisiana St","","6-1","171","4.49","35.5","","121","","","San Francisco 49ers / 4th / 133rd pick / 2016"
"181","2016","Tajae Sharpe","WR","21","13","Massachusetts","College Stats","6-2","194","4.55","33.5","11","114","","","Tennessee Titans / 5th / 140th pick / 2016"
"182","2016","Justin Simmons","S","22","47","Boston Col.","College Stats","6-2","202","4.61","40.0","16","126","6.58","3.85","Denver Broncos / 3rd / 98th pick / 2016"
"183","2016","Jaylon Smith","OLB","20","35","Notre Dame","College Stats","6-2","223","4.67","","","","","","Dallas Cowboys / 2nd / 34th pick / 2016"
"184","2016","Terrance Smith","ILB","22","4","Florida State","College Stats","6-3","235","4.77","34.5","19","120","","",""
"185","2016","Noah Spence","DE","22","5","East. Kentucky","College Stats","6-2","251","4.80","35.0","25","121","7.21","4.35","Tampa Bay Buccaneers / 2nd / 39th pick / 2016"
"186","2016","Darian Thompson","S","22","12","Boise State","College Stats","6-2","208","4.69","32.5","12","118","7.26","4.33","New York Giants / 3rd / 71st pick / 2016"
