"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"1","2016","Marshaun Coprich","RB","","","Illinois State","","5-8","207","4.47","34.0","17","112","7.26","4.58",""
"2","2016","Deandre Washington","RB","23","13","Texas Tech","College Stats","5-8","204","4.49","34.5","24","116","7.03","4.20","Oakland Raiders / 5th / 143rd pick / 2016"
"3","2016","Bralon Addison","WR","22","0","Oregon","College Stats","5-9","197","4.66","34.5","13","116","6.95","4.14",""
"4","2016","Demarcus Ayers","WR","21","0","Houston","College Stats","5-9","182","4.72","33.0","","123","","","Pittsburgh Steelers / 7th / 229th pick / 2016"
"5","2016","Briean Boddy-Calhoun","CB","23","9","Minnesota","College Stats","5-9","193","4.47","35.0","10","123","7.16","4.22",""
"6","2016","Josh Ferguson","RB","22","1","Illinois","College Stats","5-9","198","4.48","34.5","21","120","","",""
"7","2016","Jonathan Jones","CB","22","17","Auburn","College Stats","5-9","186","4.33","36.0","19","123","7.25","4.25",""
"8","2016","Byron Marshall","WR","22","0","Oregon","College Stats","5-9","201","4.42","","17","","","",""
"9","2016","Tavon Young","CB","21","15","Temple","College Stats","5-9","183","4.46","34.5","9","118","6.80","3.93","Baltimore Ravens / 4th / 104th pick / 2016"
"10","2016","Mackensie Alexander","CB","22","13","Clemson","College Stats","5-10","190","4.43","","11","","","","Minnesota Vikings / 2nd / 54th pick / 2016"
"11","2016","Peyton Barber","RB","21","16","Auburn","College Stats","5-10","228","4.64","32.5","20","111","7.00","4.21",""
"12","2016","Alex Collins","RB","21","18","Arkansas","College Stats","5-10","217","4.59","28.5","18","113","","","Seattle Seahawks / 5th / 171st pick / 2016"
"13","2016","Kenneth Dixon","RB","22","5","Louisiana Tech","College Stats","5-10","215","4.56","37.5","18","121","6.97","4.28","Baltimore Ravens / 4th / 134th pick / 2016"
"14","2016","Tyler Ervin","RB","22","2","San Jose State","College Stats","5-10","192","4.41","39.0","17","130","","","Houston Texans / 4th / 119th pick / 2016"
"15","2016","D.J. Foster","WR","22","1","Arizona State","College Stats","5-10","193","4.57","35.5","14","117","6.75","4.07",""
"16","2016","Tom Hackett","P","23","","Utah","College Stats","5-10","198","4.86","","","","","",""
"17","2016","Vernon Hargreaves III","CB","20","20","Florida","College Stats","5-10","204","4.50","39.0","15","130","","3.98","Tampa Bay Buccaneers / 1st / 11th pick / 2016"
"18","2016","Cyrus Jones","CB","22","4","Alabama","College Stats","5-10","197","4.49","33.0","10","116","6.71","4.21","New England Patriots / 2nd / 60th pick / 2016"
"19","2016","Karl Joseph","S","22","18","West Virginia","College Stats","5-10","205","4.57","","","","","","Oakland Raiders / 1st / 14th pick / 2016"
"20","2016","Derrick Kindred","S","22","8","TCU","College Stats","5-10","207","4.50","37.5","","123","7.05","4.29","Cleveland Browns / 4th / 129th pick / 2016"
"21","2016","Jordan Lomax","S","22","","Iowa","College Stats","5-10","202","4.75","36.0","8","120","7.18","4.15",""
"22","2016","Jalin Marshall","WR","20","1","Ohio State","College Stats","5-10","200","4.60","37.5","16","125","6.80","4.13",""
"23","2016","Gionni Paul","ILB","","","Utah","College Stats","5-10","231","5.05","31.0","22","113","","",""
"24","2016","Paul Perkins","RB","21","5","UCLA","College Stats","5-10","208","4.54","32.0","19","124","","","New York Giants / 5th / 149th pick / 2016"
"25","2016","Kevin Peterson","CB","21","4","Oklahoma State","College Stats","5-10","181","4.58","35.5","14","121","6.94","4.31",""
"26","2016","Sterling Shepard","WR","23","29","Oklahoma","College Stats","5-10","194","4.48","41.0","20","123","7.00","4.35","New York Giants / 2nd / 40th pick / 2016"
"27","2016","Wendell Smallwood","RB","22","10","West Virginia","College Stats","5-10","208","4.47","33.5","14","120","6.83","4.28","Philadelphia Eagles / 5th / 153rd pick / 2016"
"28","2016","Kelvin Taylor","RB","22","","Florida","College Stats","5-10","207","4.60","32.0","15","113","","","San Francisco 49ers / 6th / 211th pick / 2016"
"29","2016","Cleveland Wallace III","CB","","","San Jose State","","5-11","188","4.68","35.5","","123","","",""
"30","2016","Vernon Adams","QB","","","Oregon","College Stats","5-11","200","4.83","29.5","","114","6.82","4.20",""
"31","2016","Vonn Bell","S","21","28","Ohio State","College Stats","5-11","199","4.52","","16","","","","New Orleans Saints / 2nd / 61st pick / 2016"
"32","2016","Devontae Booker","RB","23","21","Utah","College Stats","5-11","219","4.56","","22","","","","Denver Broncos / 4th / 136th pick / 2016"
"33","2016","Anthony Brown","CB","22","22","Purdue","College Stats","5-11","192","4.33","35.0","19","115","7.03","4.19","Dallas Cowboys / 6th / 189th pick / 2016"
"34","2016","Tra Carson","RB","23","0","Texas A&M","College Stats","5-11","227","4.63","","19","","","",""
"35","2016","Corey Coleman","WR","21","6","Baylor","College Stats","5-11","194","4.42","40.5","17","129","","","Cleveland Browns / 1st / 15th pick / 2016"
"36","2016","Pharoh Cooper","WR","21","6","South Carolina","College Stats","5-11","203","4.52","31.0","15","115","","","Los Angeles Rams / 4th / 117th pick / 2016"
"37","2016","Steven Daniels","ILB","23","","Boston Col.","College Stats","5-11","243","4.86","32.0","16","112","7.33","4.54","Washington Redskins / 7th / 232nd pick / 2016"
"38","2016","Ka'Imi Fairbairn","K","22","13","UCLA","College Stats","5-11","183","4.96","","","","","",""
"39","2016","Kendall Fuller","CB","21","24","Virginia Tech","College Stats","5-11","187","4.48","","15","","","","Washington Redskins / 3rd / 84th pick / 2016"
"40","2016","De'Vante Harris","CB","22","3","Texas A&M","College Stats","5-11","176","4.56","38.5","","124","6.82","4.06",""
"41","2016","Keith Marshall","RB","22","","Georgia","College Stats","5-11","219","4.31","30.5","25","","","","Washington Redskins / 7th / 242nd pick / 2016"
"42","2016","Eric Murray","CB","22","16","Minnesota","College Stats","5-11","199","4.49","39.5","15","124","7.08","4.05","Kansas City Chiefs / 4th / 106th pick / 2016"
"43","2016","Will Redmond","CB","22","3","Mississippi State","College Stats","5-11","182","4.45","","","","","","San Francisco 49ers / 3rd / 68th pick / 2016"
"44","2016","Keivarae Russell","CB","22","2","Notre Dame","College Stats","5-11","192","4.49","","17","","","","Kansas City Chiefs / 3rd / 74th pick / 2016"
"45","2016","Zack Sanchez","CB","22","1","Oklahoma","College Stats","5-11","185","4.50","35.5","19","116","","","Carolina Panthers / 5th / 141st pick / 2016"
"46","2016","Kevon Seymour","CB","22","4","USC","College Stats","5-11","186","4.39","35.0","12","124","","4.18","Buffalo Bills / 6th / 218th pick / 2016"
"47","2016","Hunter Sharp","WR","21","0","Utah State","College Stats","5-11","198","4.58","32.5","12","116","7.12","4.19",""
"48","2016","Ryan Smith","CB","22","9","North Carolina Central","","5-11","189","4.47","36.0","18","122","6.88","4.09","Tampa Bay Buccaneers / 4th / 108th pick / 2016"
"49","2016","A.J. Stamps","S","","","Kentucky","College Stats","5-11","193","4.79","33.0","15","115","7.17","4.25",""
"50","2016","Eric Striker","OLB","","","Oklahoma","College Stats","5-11","227","4.80","30.0","23","116","7.30","4.46",""
"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"51","2016","Soma Vainuku","FB","23","","USC","College Stats","5-11","246","4.68","32.0","26","108","","",""
"52","2016","D.J. White","CB","22","1","Georgia Tech","College Stats","5-11","193","4.49","33.0","17","132","7.18","4.33","Kansas City Chiefs / 6th / 178th pick / 2016"
"53","2016","Brandon Williams","CB","23","4","Texas A&M","College Stats","5-11","197","4.37","30.5","18","118","6.85","4.19","Arizona Cardinals / 3rd / 92nd pick / 2016"
"54","2016","Jonathan Williams","RB","22","4","Arkansas","College Stats","5-11","220","4.56","","16","","","","Buffalo Bills / 5th / 156th pick / 2016"
"55","2016","Jimmy Pruitt","CB","","","San Jose State","","6-0","198","4.73","32.0","19","117","","",""
"56","2016","Raphael Kirby","ILB","","","Miami (FL)","College Stats","6-0","236","4.72","","27","","","",""
"57","2016","Shadrach Thornton","RB","","","North Carolina State","College Stats","6-0","217","4.75","31.0","12","116","6.85","4.21",""
"58","2016","Roberto Aguayo","K","21","0","Florida State","College Stats","6-0","207","4.96","","","","","","Tampa Bay Buccaneers / 2nd / 59th pick / 2016"
"59","2016","Dominique Alexander","ILB","20","1","Oklahoma","College Stats","6-0","232","4.64","28.5","17","104","","",""
"60","2016","Trevone Boykin","QB","22","0","TCU","College Stats","6-0","212","4.77","32.0","","110","","4.40",""
"61","2016","Kentrell Brothers","OLB","23","4","Missouri","College Stats","6-0","245","4.89","28.5","19","110","6.99","4.11","Minnesota Vikings / 5th / 160th pick / 2016"
"62","2016","Lamarcus Brutus","S","23","","Florida State","College Stats","6-0","206","4.76","33.0","14","114","7.08","4.33",""
"63","2016","Aaron Burbridge","WR","22","1","Michigan State","College Stats","6-0","206","4.56","30.5","20","115","7.22","4.31","San Francisco 49ers / 6th / 213th pick / 2016"
"64","2016","Artie Burns","CB","20","17","Miami (FL)","College Stats","6-0","193","4.46","31.5","","","","","Pittsburgh Steelers / 1st / 25th pick / 2016"
"65","2016","Juston Burris","CB","22","14","North Carolina State","College Stats","6-0","212","4.53","36.5","19","122","7.10","4.40","New York Jets / 4th / 118th pick / 2016"
"66","2016","Deon Bush","S","22","8","Miami (FL)","College Stats","6-0","199","4.64","36.0","17","123","","","Chicago Bears / 4th / 124th pick / 2016"
"67","2016","Taveze Calhoun","CB","23","0","Mississippi State","College Stats","6-0","192","4.58","33.5","14","","","",""
"68","2016","Leonte Carroo","WR","22","2","Rutgers","College Stats","6-0","211","4.50","35.5","14","120","","","Miami Dolphins / 3rd / 86th pick / 2016"
"69","2016","Jeremy Cash","S","23","1","Duke","College Stats","6-0","212","4.56","","","","","",""
"70","2016","Brad Craddock","K","","","Maryland","College Stats","6-0","186","4.88","","","","","",""
"71","2016","Ken Crawley","CB","23","10","Colorado","College Stats","6-0","187","4.43","36.5","","119","","",""
"72","2016","KJ Dillon","S","21","0","West Virginia","College Stats","6-0","210","4.53","","11","121","","","Houston Texans / 5th / 159th pick / 2016"
"73","2016","Ezekiel Elliott","RB","20","66","Ohio State","College Stats","6-0","225","4.47","32.5","","118","","","Dallas Cowboys / 1st / 4th pick / 2016"
"74","2016","Kavon Frazier","S","21","4","Central Michigan","College Stats","6-0","217","4.53","","18","","","","Dallas Cowboys / 6th / 212th pick / 2016"
"75","2016","Will Fuller","WR","21","26","Notre Dame","College Stats","6-0","186","4.32","33.5","10","126","6.93","4.27","Houston Texans / 1st / 21st pick / 2016"
"76","2016","Jordan Howard","RB","21","29","Indiana","College Stats","6-0","230","4.57","34.0","16","122","","","Chicago Bears / 5th / 150th pick / 2016"
"77","2016","Xavien Howard","CB","22","51","Baylor","College Stats","6-0","201","4.58","33.0","11","122","7.18","4.15","Miami Dolphins / 2nd / 38th pick / 2016"
"78","2016","William Jackson III","CB","23","20","Houston","College Stats","6-0","189","4.37","","10","116","","","Cincinnati Bengals / 1st / 24th pick / 2016"
"79","2016","Devon Johnson","RB","22","","Marshall","College Stats","6-0","238","4.64","","","","","",""
"80","2016","Daniel Lasco","RB","23","0","California","College Stats","6-0","209","4.46","41.5","23","135","7.22","4.26","New Orleans Saints / 7th / 237th pick / 2016"
"81","2016","Roger Lewis","WR","22","4","Bowling Green","College Stats","6-0","201","4.57","33.5","8","116","","",""
"82","2016","Kolby Listenbee","WR","22","","TCU","College Stats","6-0","197","4.39","35.5","15","129","","","Buffalo Bills / 6th / 192nd pick / 2016"
"83","2016","Jordan Lucas","S","22","4","Penn State","College Stats","6-0","201","4.54","","","","","","Miami Dolphins / 6th / 204th pick / 2016"
"84","2016","Luther Maddy","DT","23","","Virginia Tech","College Stats","6-0","287","4.96","","29","","","",""
"85","2016","Tre Madden","RB","22","1","USC","College Stats","6-0","223","4.53","","24","","","",""
"86","2016","Tyler Matakevich","OLB","23","8","Temple","College Stats","6-0","238","4.81","31.0","22","112","7.19","4.50","Pittsburgh Steelers / 7th / 246th pick / 2016"
"87","2016","Harlan Miller","CB","21","2","SE Louisiana","","6-0","182","4.65","35.5","6","118","7.44","4.43","Arizona Cardinals / 6th / 205th pick / 2016"
"88","2016","Jalen Mills","S","21","26","LSU","College Stats","6-0","191","4.61","37.0","16","123","6.86","4.00","Philadelphia Eagles / 7th / 233rd pick / 2016"
"89","2016","Malcolm Mitchell","WR","23","4","Georgia","College Stats","6-0","198","4.45","36.0","15","129","6.94","4.34","New England Patriots / 4th / 112th pick / 2016"
"90","2016","Keanu Neal","S","20","21","Florida","College Stats","6-0","211","4.62","38.0","17","132","7.09","4.38","Atlanta Falcons / 1st / 17th pick / 2016"
"91","2016","C.J. Prosise","RB","21","5","Notre Dame","College Stats","6-0","220","4.48","35.5","","121","","","Seattle Seahawks / 3rd / 90th pick / 2016"
"92","2016","Elijah Shumate","S","22","","Notre Dame","College Stats","6-0","216","4.58","33.0","18","119","","4.51",""
"93","2016","Leshaun Sims","CB","22","12","Southern Utah","","6-0","203","4.53","37.0","11","120","7.08","4.19","Tennessee Titans / 5th / 157th pick / 2016"
"94","2016","Antwaun Woods","DL","23","16","USC","College Stats","6-0","318","5.18","","","","","",""
"95","2016","Scooby Wright III","ILB","21","1","Arizona","College Stats","6-0","239","4.90","31.0","22","113","","4.47","Cleveland Browns / 7th / 250th pick / 2016"
"96","2016","John Lunsford","K","","","Liberty","","6-1","214","4.74","","","","","",""
"97","2016","Brandon Allen","QB","23","4","Arkansas","College Stats","6-1","217","4.84","28.0","","110","7.06","4.33","Jacksonville Jaguars / 6th / 201st pick / 2016"
"98","2016","Jack Allen","C","23","","Michigan State","College Stats","6-1","294","5.29","26.5","23","101","7.90","4.73",""
"99","2016","Eli Apple","CB","20","24","Ohio State","College Stats","6-1","199","4.40","","13","","","","New York Giants / 1st / 10th pick / 2016"
"100","2016","Andrew Billings","DT","21","16","Baylor","College Stats","6-1","311","5.05","27.5","31","113","8.05","4.82","Cincinnati Bengals / 4th / 122nd pick / 2016"
"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"101","2016","Devante Bond","OLB","22","4","Oklahoma","College Stats","6-1","235","4.70","37.5","21","121","7.07","4.36","Tampa Bay Buccaneers / 6th / 183rd pick / 2016"
"102","2016","Tyler Boyd","WR","21","39","Pittsburgh","College Stats","6-1","197","4.58","34.0","11","119","6.90","4.35","Cincinnati Bengals / 2nd / 55th pick / 2016"
"103","2016","James Bradberry","CB","22","38","Samford","","6-1","211","4.50","36.0","16","124","6.91","4.21","Carolina Panthers / 2nd / 62nd pick / 2016"
"104","2016","Beniquez Brown","OLB","22","","Mississippi State","College Stats","6-1","229","4.77","31.0","18","110","7.07","4.28",""
"105","2016","Maurice Canady","CB","21","3","Virginia","College Stats","6-1","193","4.49","38.0","16","124","7.03","4.09","Baltimore Ravens / 6th / 209th pick / 2016"
"106","2016","Tevin Carter","S","23","","Utah","College Stats","6-1","218","4.48","","19","","","",""
"107","2016","Su'A Cravens","OLB","20","5","USC","College Stats","6-1","226","4.58","27.0","16","114","","","Washington Redskins / 2nd / 53rd pick / 2016"
"108","2016","Sean Davis","CB","22","19","Maryland","College Stats","6-1","201","4.46","37.5","21","126","6.64","3.97","Pittsburgh Steelers / 2nd / 58th pick / 2016"
"109","2016","Trevor Davis","WR","22","2","California","College Stats","6-1","188","4.42","38.5","11","124","6.60","4.22","Green Bay Packers / 5th / 163rd pick / 2016"
"110","2016","Sheldon Day","DT","21","7","Notre Dame","College Stats","6-1","293","5.07","30.0","21","102","7.44","4.50","Jacksonville Jaguars / 4th / 103rd pick / 2016"
"111","2016","Kenyan Drake","RB","22","33","Alabama","College Stats","6-1","210","4.45","34.5","10","123","7.04","4.21","Miami Dolphins / 3rd / 73rd pick / 2016"
"112","2016","Deandre Elliott","CB","23","1","Colorado State","College Stats","6-1","188","4.55","41.0","","125","6.93","3.94",""
"113","2016","B.J. Goodson","OLB","22","21","Clemson","College Stats","6-1","242","4.69","34.5","30","118","7.05","4.51","New York Giants / 4th / 109th pick / 2016"
"114","2016","Javon Hargrave","DT","23","43","South Carolina State","","6-1","309","4.93","34.5","29","109","7.90","4.70","Pittsburgh Steelers / 3rd / 89th pick / 2016"
"115","2016","Quayvon Hicks","FB","21","","Georgia","College Stats","6-1","259","4.82","","","","","",""
"116","2016","Rashard Higgins","WR","21","14","Colorado State","College Stats","6-1","196","4.64","32.0","13","116","","","Cleveland Browns / 5th / 172nd pick / 2016"
"117","2016","Johnny Holton","WR","25","3","Cincinnati","College Stats","6-1","190","4.54","31.5","8","123","","",""
"118","2016","Deandre Houston-Carson","S","22","7","William & Mary","","6-1","201","4.54","32.5","13","115","7.15","4.28","Chicago Bears / 6th / 185th pick / 2016"
"119","2016","Myles Jack","OLB","20","41","UCLA","College Stats","6-1","245","4.56","","19","","","","Jacksonville Jaguars / 2nd / 36th pick / 2016"
"120","2016","Andy Janovich","FB","22","2","Nebraska","College Stats","6-1","238","4.81","34.0","30","119","7.28","4.32","Denver Broncos / 6th / 176th pick / 2016"
"121","2016","C.J. Johnson","ILB","23","","Mississippi","College Stats","6-1","234","4.81","","","","","4.52",""
"122","2016","Deion Jones","OLB","21","43","LSU","College Stats","6-1","222","4.59","33.0","","120","","","Atlanta Falcons / 2nd / 52nd pick / 2016"
"123","2016","Cody Kessler","QB","22","5","USC","College Stats","6-1","220","4.89","29.5","","104","7.32","4.00","Cleveland Browns / 3rd / 93rd pick / 2016"
"124","2016","Marshall Koehn","K","23","0","Iowa","College Stats","6-1","197","4.61","","","","","",""
"125","2016","Jimmy Landes","LS","23","","Baylor","College Stats","6-1","240","4.95","27.5","","110","7.05","4.38","Detroit Lions / 6th / 210th pick / 2016"
"126","2016","Nile Lawrence-Stample","DL","23","","Florida State","College Stats","6-1","320","5.24","","","","","",""
"127","2016","Darron Lee","OLB","21","20","Ohio State","College Stats","6-1","232","4.47","35.5","17","133","7.12","4.20","New York Jets / 1st / 20th pick / 2016"
"128","2016","Steve Longa","ILB","21","2","Rutgers","College Stats","6-1","241","4.78","32.0","19","116","7.50","4.56",""
"129","2016","Cassanova McKinzy","ILB","23","0","Auburn","College Stats","6-1","248","4.83","","21","","","",""
"130","2016","Braxton Miller","WR","23","2","Ohio State","College Stats","6-1","201","4.50","35.0","17","123","6.65","4.07","Houston Texans / 3rd / 85th pick / 2016"
"131","2016","Chris Moore","WR","22","6","Cincinnati","College Stats","6-1","206","4.53","37.0","10","130","6.76","4.20","Baltimore Ravens / 4th / 107th pick / 2016"
"132","2016","Antonio Morrison","ILB","21","13","Florida","College Stats","6-1","232","4.76","","","","","","Indianapolis Colts / 4th / 125th pick / 2016"
"133","2016","Jared Norris","ILB","22","3","Utah","College Stats","6-1","241","4.80","29.5","19","114","","4.52",""
"134","2016","Victor Ochi","DE","22","0","Stony Brook","","6-1","246","4.86","32.0","","119","7.24","4.40",""
"135","2016","Jordan Payton","WR","22","0","UCLA","College Stats","6-1","207","4.47","34.5","","121","7.08","4.33","Cleveland Browns / 5th / 154th pick / 2016"
"136","2016","Reggie Ragland","ILB","22","23","Alabama","College Stats","6-1","247","4.72","31.5","","116","","4.28","Buffalo Bills / 2nd / 41st pick / 2016"
"137","2016","Jalen Ramsey","CB","21","71","Florida State","College Stats","6-1","209","4.41","41.5","14","135","6.94","4.18","Jacksonville Jaguars / 1st / 5th pick / 2016"
"138","2016","Sheldon Rankins","DT","21","20","Louisville","College Stats","6-1","299","5.03","34.5","28","118","7.44","4.59","New Orleans Saints / 1st / 12th pick / 2016"
