"Rk","Year","Player","Pos","Age","AV","School","","Height","Wt","40YD","Vertical","BenchReps","Broad Jump","3Cone","Shuttle","Drafted (tm/rnd/yr)"
"1","2021","Jamal Jones","RB","","","Arkansas St.","College Stats","5-6","198","4.67","28.0","23","112","7.39","4.65",""
"2","2021","Jarrett Patterson","OL","","","Notre Dame","College Stats","5-6","195","4.52","","","","","",""
"3","2021","CJ Marable","RB","","","Coastal Carolina","College Stats","5-6","195","4.59","36.0","17","116","7.25","4.39",""
"4","2021","Jaret Patterson","RB","21","2","Buffalo","College Stats","5-6","195","4.59","30.0","19","117","7.03","4.35",""
"5","2021","Otis Anderson","RB","","","Central Florida","College Stats","5-7","179","4.63","36.0","11","113","7.04","4.38",""
"6","2021","Israel Tucker","RB","","","Louisiana Tech","College Stats","5-7","194","4.60","38.5","20","123","7.25","4.52",""
"7","2021","Justin Henderson","RB","","","Louisiana Tech","College Stats","5-7","220","4.65","32.0","26","118","7.22","4.59",""
"8","2021","Bryson Denley","RB","","","Bowling Green","College Stats","5-7","189","4.56","27.5","13","110","7.25","4.57",""
"9","2021","Michael Carter","RB","21","6","North Carolina","College Stats","5-7","201","4.50","34.0","16","119","6.81","3.98","New York Jets / 4th / 107th pick / 2021"
"10","2021","Jaelon Darden","WR","22","0","North Texas","College Stats","5-7","174","4.47","35.5","","122","6.66","3.98","Tampa Bay Buccaneers / 4th / 129th pick / 2021"
"11","2021","Rondale Moore","WR","20","5","Purdue","College Stats","5-7","180","4.28","42.5","","","6.65","4.06","Arizona Cardinals / 2nd / 49th pick / 2021"
"12","2021","Ar'Darius Washington","S","21","0","TCU","College Stats","5-7","178","4.61","37.5","17","127","7.06","4.10",""
"13","2021","Harry Trotter","RB","","","Kansas St.","College Stats","5-8","207","4.63","32.5","22","112","","",""
"14","2021","Jaytlin Askew","DB","","","Georgia Tech","College Stats","5-8","180","4.51","35.5","18","125","7.10","4.31",""
"15","2021","Jarell White","LB","","","Cincinnati","College Stats","5-8","202","4.58","35.0","22","125","7.21","4.35",""
"16","2021","Jaylen Harris","WR","","","Ohio St.","College Stats","5-8","170","4.77","30.5","8","109","7.37","4.50",""
"17","2021","Coby Weiss","K","","","South Florida","College Stats","5-8","155","","","","","","",""
"18","2021","Tutu Atwell","WR","21","0","Louisville","College Stats","5-8","155","4.42","33.0","","117","6.89","4.14","Los Angeles Rams / 2nd / 57th pick / 2021"
"19","2021","D'Wayne Eskridge","WR","23","1","West. Michigan","College Stats","5-8","190","4.38","35.0","","124","6.93","4.22","Seattle Seahawks / 2nd / 56th pick / 2021"
"20","2021","Demetric Felton","RB","22","2","UCLA","College Stats","5-8","189","4.55","","","","","","Cleveland Browns / 6th / 211th pick / 2021"
"21","2021","Javian Hawkins","RB","","","Louisville","College Stats","5-8","183","4.46","36.0","","116","6.98","4.23",""
"22","2021","Khalil Herbert","RB","22","3","Virginia Tech","College Stats","5-8","210","4.46","33.0","22","115","6.96","4.31","Chicago Bears / 6th / 217th pick / 2021"
"23","2021","Josh Johnson","RB","23","0","La-Monroe","College Stats","5-8","209","4.61","35.5","22","115","7.16","4.40",""
"24","2021","Mekhi Sargent","RB","23","0","Iowa","College Stats","5-8","208","4.62","33.5","","114","7.08","4.39",""
"25","2021","Avery Williams","CB","22","1","Boise St.","College Stats","5-8","187","4.43","33.5","19","121","6.88","4.00","Atlanta Falcons / 5th / 183rd pick / 2021"
"26","2021","Jaylon McClain-Sapp","DB","","","Marshall","College Stats","5-9","183","4.49","41.0","14","125","7.21","4.46",""
"27","2021","Josh Blancato","WR","","","Georgia Tech","College Stats","5-9","182","4.55","32.0","17","124","6.90","4.31",""
"28","2021","Mallory Claybourne","CB","","","Coastal Carolina","College Stats","5-9","191","4.57","33.0","12","116","7.37","4.32",""
"29","2021","Wesley Burris","LS","","","Kansas St.","College Stats","5-9","203","5.30","30.0","12","102","7.51","4.74",""
"30","2021","Shaun Crawford","S","","","Notre Dame","College Stats","5-9","182","4.55","35.0","12","116","6.70","4.13",""
"31","2021","Dicaprio Bootle","CB","23","0","Nebraska","College Stats","5-9","180","4.38","36.5","16","126","6.77","4.03",""
"32","2021","Shakur Brown","CB","21","","Michigan St.","College Stats","5-9","185","4.61","35.5","17","116","7.08","4.23",""
"33","2021","Tre Brown","CB","23","1","Oklahoma","College Stats","5-9","185","4.42","38.0","13","123","7.11","4.27","Seattle Seahawks / 4th / 137th pick / 2021"
"34","2021","Greg McCrae","RB","","","Central Florida","College Stats","5-9","182","4.57","37.5","","124","6.89","4.34",""
"35","2021","Dedrick Mills","RB","24","","Nebraska","College Stats","5-9","217","4.65","32.5","13","117","7.06","4.35",""
"36","2021","Elijah Molden","DB","22","3","Washington","College Stats","5-9","192","4.62","36.5","13","125","","","Tennessee Titans / 3rd / 100th pick / 2021"
"37","2021","Whop Philyor","WR","22","","Indiana","College Stats","5-9","184","4.57","31.0","14","120","7.20","4.34",""
